,year,year_count,congregation,denomination,density,clustering,preferential_edges,jacc_edges,gender_assort,male_bridges,female_bridges,male,female,nodes,bridge_pct,network_pct
0,1786,3,albany-lutheran,lutheran,0.35714285714285715,0.849,0.0,0.0,-0.19999999999999996,0,0,4,4,8,0.0,1.0
1,1787,4,albany-lutheran,lutheran,0.20952380952380953,0.865,0.0,0.0,-0.2727272727272727,1,0,7,8,15,0.0,1.1428571428571428
2,1788,5,albany-lutheran,lutheran,0.06859903381642513,0.832,0.0,0.0,-0.19533193036158408,1,3,25,20,46,3.0,0.8
3,1789,6,albany-lutheran,lutheran,0.05182443151771549,0.761,0.0,0.0,-0.2112247999189546,1,3,33,28,62,3.0,0.8484848484848485
4,1790,7,albany-lutheran,lutheran,0.03700516351118761,0.669,0.0,0.0,-0.2140462325745546,2,4,44,39,84,2.0,0.8863636363636364
5,1791,8,albany-lutheran,lutheran,0.03179824561403509,0.668,0.0,0.0,-0.20624386596251804,2,4,51,44,96,2.0,0.8627450980392157
6,1792,9,albany-lutheran,lutheran,0.026967285587975242,0.682,0.0,0.0,-0.21730684326710822,5,4,60,56,117,0.8,0.9333333333333333
7,1793,10,albany-lutheran,lutheran,0.024239703736954325,0.681,0.0,0.01,-0.21664372683959773,5,4,69,64,134,0.8,0.927536231884058
8,1794,11,albany-lutheran,lutheran,0.022531819745442036,0.704,0.0,0.01,-0.21595249419869994,7,7,78,74,153,1.0,0.9487179487179487
9,1795,12,albany-lutheran,lutheran,0.02023342059336824,0.689,0.0,0.04,-0.20997755987041014,13,12,98,93,192,0.9230769230769231,0.9489795918367347
10,1796,13,albany-lutheran,lutheran,0.01936357481381178,0.71,0.01,0.07,-0.20511476897645198,14,14,108,102,211,1.0,0.9444444444444444
11,1797,14,albany-lutheran,lutheran,0.018025078369905956,0.753,0.01,0.03,-0.21167802243279346,14,14,120,111,232,1.0,0.925
12,1798,15,albany-lutheran,lutheran,0.017316017316017316,0.742,0.01,0.05,-0.2230148589429791,13,14,131,121,253,1.0769230769230769,0.9236641221374046
13,1799,16,albany-lutheran,lutheran,0.016420945602440264,0.773,0.0,0.1,-0.23404610957890098,19,16,143,137,281,0.8421052631578947,0.958041958041958
14,1800,17,albany-lutheran,lutheran,0.016420945602440264,0.784,0.0,0.0,-0.23404610957890098,19,16,143,137,281,0.8421052631578947,0.958041958041958
