,year,density,clustering,preferential_edges,jacc_edges
0,1666,0.13793103448275862,0.801,0.0,0.0
1,1667,0.05704365079365079,0.714,0.0,0.01
2,1668,0.05203442879499218,0.718,0.0,0.0
3,1669,0.05297297297297297,0.754,0.02,0.03
4,1670,0.05297297297297297,0.712,0.0,0.0
5,1671,0.05297297297297297,0.713,0.0,0.0
6,1672,0.05297297297297297,0.737,0.0,0.0
7,1673,0.05209274314965372,0.757,0.04,0.04
8,1674,0.0506155950752394,0.753,0.0,0.0
9,1675,0.04786324786324787,0.739,0.0,0.0
10,1676,0.047256438969764836,0.736,0.0,0.01
11,1677,0.04212454212454213,0.745,0.0,0.0
12,1678,0.037481259370314844,0.738,0.01,0.0
13,1679,0.03576751117734724,0.709,0.0,0.0
14,1680,0.029261019476283665,0.681,0.0,0.01
15,1681,0.026224982746721876,0.676,0.0,0.01
16,1682,0.02306937172774869,0.684,0.01,0.05
17,1683,0.023278469978977593,0.715,0.0,0.02
18,1684,0.022681266102318735,0.655,0.0,0.01
19,1685,0.021855936654142934,0.64,0.01,0.06
20,1686,0.020609863050664506,0.637,0.0,0.01
21,1687,0.020712595590000344,0.633,0.0,0.0
22,1688,0.02207112970711297,0.657,0.01,0.07
23,1689,0.022147875543660087,0.661,0.0,0.01
24,1690,0.021997549019607845,0.668,0.0,0.03
25,1691,0.021869639794168096,0.656,0.02,0.04
26,1692,0.021150779045515888,0.663,0.0,0.04
27,1693,0.021410034602076123,0.678,0.01,0.03
28,1694,0.021476167258712358,0.664,0.0,0.02
29,1695,0.0205507339547841,0.634,0.0,0.0
30,1696,0.02024062278839349,0.658,0.0,0.02
31,1697,0.019349099266068648,0.656,0.0,0.02
32,1698,0.018953084821348293,0.676,0.0,0.02
33,1699,0.018696934489230495,0.666,0.0,0.02
34,1700,0.01799447097260618,0.68,0.0,0.0
35,1701,0.017576676777890123,0.658,0.0,0.0
36,1702,0.017679164689131468,0.647,0.0,0.0
37,1703,0.018900737682987424,0.648,0.0,0.03
38,1704,0.017999289267945983,0.692,0.0,0.03
39,1705,0.01796217934086001,0.709,0.0,0.03
40,1706,0.018439716312056736,0.686,0.0,0.02
41,1707,0.018574766355140188,0.679,0.0,0.0
42,1708,0.016983470353109563,0.711,0.0,0.01
43,1709,0.017180751442877347,0.689,0.0,0.0
44,1710,0.01640933840531066,0.694,0.0,0.0
45,1711,0.01638367017287464,0.706,0.0,0.01
46,1712,0.016600950358912143,0.698,0.0,0.02
47,1713,0.018959561592603175,0.673,0.0,0.01
48,1714,0.01874281436325232,0.751,0.0,0.0
49,1715,0.018752160387141375,0.709,0.0,0.0
50,1716,0.019135453918062612,0.711,0.0,0.0
51,1717,0.019317756691494065,0.66,0.0,0.0
52,1718,0.01955515748619197,0.639,0.0,0.0
53,1719,0.01984126984126984,0.653,0.0,0.0
54,1720,0.02027972027972028,0.676,0.0,0.0
55,1721,0.019995653118887197,0.653,0.0,0.0
56,1722,0.020030403290709112,0.606,0.0,0.0
57,1723,0.01781606954894546,0.699,0.0,0.02
58,1724,0.01723741668581935,0.648,0.0,0.0
