,year,density,clustering,preferential_edges,jacc_edges
0,1760,0.16993464052287582,0.876,0.0,0.0
1,1761,0.050816696914700546,0.761,0.0,0.0
2,1762,0.0298989898989899,0.789,0.0,0.0
3,1763,0.021658624172371226,0.705,0.0,0.01
4,1764,0.020333170014698677,0.762,0.01,0.05
5,1765,0.018375067555395426,0.785,0.0,0.02
6,1766,0.018375067555395426,0.775,0.0,0.0
7,1767,0.018375067555395426,0.771,0.0,0.0
8,1768,0.018375067555395426,0.763,0.0,0.0
9,1769,0.01778237525245062,0.783,0.0,0.08
10,1770,0.01644611677165687,0.746,0.0,0.0
11,1771,0.01644611677165687,0.762,0.0,0.0
12,1772,0.011206896551724138,0.716,0.0,0.07
13,1773,0.00916013183316286,0.749,0.0,0.08
14,1774,0.008173402573944458,0.712,0.0,0.07
15,1775,0.007455360035084047,0.716,0.0,0.2
16,1776,0.007489208898508307,0.727,0.01,0.17
17,1777,0.007489208898508307,0.744,0.0,0.0
