"id","year","year_count","congregation","attenuated","denomination","density","clustering","preferential_edges","jacc_edges","gender_assort","male_bridges","female_bridges","male","female","nodes","bridge_pct","network_pct"
19,1685,20,"bergen-drc","FALSE","dutch reformed",0.021855936654143,0.68,0.01,0.06,-0.113513358559798,10,6,97,96,223,0.6,0.989690721649485
20,1686,21,"bergen-drc","FALSE","dutch reformed",0.020609863050665,0.679,0,0.01,-0.120801008904345,10,8,109,102,244,0.8,0.935779816513762
21,1687,22,"bergen-drc","FALSE","dutch reformed",0.02071259559,0.678,0,0,-0.131929863336649,13,7,110,99,242,0.538461538461538,0.9
22,1688,23,"bergen-drc","FALSE","dutch reformed",0.022071129707113,0.637,0.01,0.07,-0.1300759471443,7,2,107,101,240,0.285714285714286,0.94392523364486
23,1689,24,"bergen-drc","FALSE","dutch reformed",0.02214787554366,0.662,0,0.01,-0.120778106660152,6,2,108,104,245,0.333333333333333,0.962962962962963
24,1690,25,"bergen-drc","FALSE","dutch reformed",0.021997549019608,0.666,0,0.03,-0.122013880961989,5,2,115,108,256,0.4,0.939130434782609
25,1691,26,"bergen-drc","FALSE","dutch reformed",0.021869639794168,0.662,0.02,0.04,-0.120243797978999,6,2,118,113,265,0.333333333333333,0.957627118644068
26,1692,27,"bergen-drc","FALSE","dutch reformed",0.021150779045516,0.655,0,0.04,-0.118384965803602,7,3,126,123,286,0.428571428571429,0.976190476190476
27,1693,28,"bergen-drc","FALSE","dutch reformed",0.021410034602076,0.652,0.01,0.03,-0.110354537683654,6,3,128,124,289,0.5,0.96875
28,1694,29,"bergen-drc","FALSE","dutch reformed",0.021476167258712,0.641,0,0.02,-0.11581619190028,5,3,131,126,294,0.6,0.961832061068702
29,1695,30,"bergen-drc","FALSE","dutch reformed",0.020550733954784,0.659,0,0,-0.112488047084386,6,3,136,131,306,0.5,0.963235294117647
30,1696,31,"bergen-drc","FALSE","dutch reformed",0.020240622788394,0.651,0,0.02,-0.108334491867093,8,3,140,136,315,0.375,0.971428571428571
31,1697,32,"bergen-drc","FALSE","dutch reformed",0.019349099266069,0.631,0,0.02,-0.103042204218287,11,3,147,143,329,0.272727272727273,0.972789115646258
32,1698,33,"bergen-drc","FALSE","dutch reformed",0.018953084821348,0.664,0,0.02,-0.105144603968018,11,3,151,143,334,0.272727272727273,0.947019867549669
33,1699,34,"bergen-drc","FALSE","dutch reformed",0.018696934489231,0.645,0,0.02,-0.102890782883754,11,3,153,143,335,0.272727272727273,0.934640522875817
34,1700,35,"bergen-drc","FALSE","dutch reformed",0.017994470972606,0.666,0,0,-0.102469515990591,13,4,159,148,346,0.307692307692308,0.930817610062893
35,1701,36,"bergen-drc","FALSE","dutch reformed",0.01757667677789,0.666,0,0,-0.099827932120804,12,3,159,148,345,0.25,0.930817610062893
36,1702,37,"bergen-drc","FALSE","dutch reformed",0.017679164689132,0.69,0,0,-0.096402531217657,11,3,159,148,344,0.272727272727273,0.930817610062893
37,1703,38,"bergen-drc","FALSE","dutch reformed",0.018900737682988,0.65,0,0.03,-0.099297609363605,8,3,152,136,324,0.375,0.894736842105263
38,1704,39,"bergen-drc","FALSE","dutch reformed",0.017999289267946,0.678,0,0.03,-0.105952216296022,9,3,157,140,336,0.333333333333333,0.89171974522293
