,Unnamed: 0,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,0,1763,1,gravesend-drc,dutch reformed,0.1515151515151515,0.265,-0.4141414141414141,0.3333333333333319,0.7101449275362318,2,0,0.35,0.2,0.1,7,5,12,0.0,0.4166666666666667
1,1,1764,2,gravesend-drc,dutch reformed,0.1052631578947368,0.536,-0.3500000000000001,0.2941176470588245,0.85,2,0,0.3333333333333333,0.2222222222222222,0.1111111111111111,11,8,19,0.0,0.4210526315789473
2,2,1765,3,gravesend-drc,dutch reformed,0.0995670995670995,0.596,-0.3142857142857144,-0.2341463414634141,0.8773333333333334,2,0,0.3260869565217391,0.217391304347826,0.1304347826086956,12,10,22,0.0,0.4545454545454545
3,3,1766,4,gravesend-drc,dutch reformed,0.09,0.522,-0.2662068965517242,-0.2714681440443199,0.9027027027027028,2,1,0.3148148148148148,0.2222222222222222,0.1481481481481481,14,11,25,0.3333333333333333,0.44
4,4,1767,5,gravesend-drc,dutch reformed,0.0797720797720797,0.456,-0.2158365261813534,-0.1738594327990136,0.9050847457627118,2,1,0.3035714285714285,0.2142857142857142,0.1785714285714285,14,13,27,0.3333333333333333,0.4814814814814814
5,5,1768,6,gravesend-drc,dutch reformed,0.0705705705705705,0.509,-0.236281179138322,0.3871087928464976,0.8299155609167672,4,1,0.3085106382978723,0.2127659574468085,0.1702127659574468,18,19,37,0.2,0.5135135135135135
6,6,1769,7,gravesend-drc,dutch reformed,0.0564292321924144,0.407,-0.1587516960651289,0.4079312257348866,0.8375499334221038,6,1,0.2868852459016393,0.2622950819672131,0.1639344262295081,24,23,47,0.1428571428571428,0.4893617021276595
7,7,1770,8,gravesend-drc,dutch reformed,0.0514319111630625,0.42,-0.1,0.3271028037383184,0.8084874863982592,3,4,0.2727272727272727,0.2727272727272727,0.1818181818181818,28,31,59,0.5714285714285714,0.5254237288135594
8,8,1771,9,gravesend-drc,dutch reformed,0.0488466757123473,0.385,-0.0972018941024535,0.3142250530785559,0.7980679339358056,4,6,0.2731481481481481,0.2592592592592592,0.1944444444444444,31,36,67,0.6,0.5373134328358209
9,9,1772,10,gravesend-drc,dutch reformed,0.0473898556090336,0.469,-0.1110703588238889,0.1845591018039611,0.8278541542139869,4,5,0.27734375,0.2421875,0.203125,34,40,74,0.5555555555555556,0.5405405405405406
10,10,1773,11,gravesend-drc,dutch reformed,0.0431372549019607,0.561,-0.1445945945945946,0.2141542579889577,0.8016447042504705,5,4,0.2857142857142857,0.2337662337662337,0.1948051948051948,39,46,85,0.4444444444444444,0.5411764705882353
11,11,1774,12,gravesend-drc,dutch reformed,0.0438385458433573,0.628,-0.1478778853313475,0.1832132473770693,0.8154751601177085,5,5,0.2865853658536585,0.2317073170731707,0.1951219512195122,40,47,87,0.5,0.5402298850574713
12,12,1775,13,gravesend-drc,dutch reformed,0.0438385458433573,0.594,-0.1478778853313475,0.1832132473770693,0.8154751601177085,5,5,0.2865853658536585,0.2317073170731707,0.1951219512195122,40,47,87,0.5,0.5402298850574713
13,13,1776,14,gravesend-drc,dutch reformed,0.0438385458433573,0.643,-0.1478778853313475,0.1832132473770693,0.8154751601177085,5,5,0.2865853658536585,0.2317073170731707,0.1951219512195122,40,47,87,0.5,0.5402298850574713
