,year,density,clustering,preferential_edges,jacc_edges
0,1737,0.05191256830601093,0.517,0.0,0.0
1,1738,0.020880527922781444,0.464,0.0,0.01
2,1739,0.016002681077458003,0.454,0.01,0.02
3,1740,0.016259618601538975,0.457,0.0,0.05
4,1741,0.015294453973699256,0.473,0.0,0.01
5,1742,0.015286023414525883,0.476,0.0,0.01
6,1743,0.015614617940199336,0.468,0.02,0.04
7,1744,0.015788605820760162,0.488,0.0,0.01
8,1745,0.015765483957458217,0.458,0.0,0.02
9,1746,0.01592484115171012,0.441,0.01,0.01
10,1747,0.0177396039465005,0.472,0.02,0.06
11,1748,0.017520268934150682,0.477,0.01,0.01
12,1749,0.01747278970956289,0.522,0.02,0.07
13,1750,0.016325962456251987,0.523,0.0,0.04
14,1751,0.016325962456251987,0.548,0.0,0.0
15,1752,0.01562876334733856,0.538,0.02,0.02
16,1753,0.015479876160990712,0.538,0.03,0.05
17,1754,0.015057611416945043,0.582,0.03,0.09
18,1755,0.01480781565752357,0.587,0.01,0.02
19,1756,0.014569314028131176,0.6,0.0,0.03
20,1757,0.014379205456724123,0.6,0.01,0.01
21,1758,0.014593735251012246,0.581,0.0,0.05
22,1759,0.013875522642873842,0.617,0.03,0.14
23,1760,0.014111156301391665,0.609,0.01,0.0
24,1761,0.01402275482835903,0.651,0.0,0.0
