,year,year_count,congregation,denomination,density,clustering,preferential_edges,jacc_edges,gender_assort,male_bridges,female_bridges,male,female,nodes,bridge_pct,network_pct
0,1761,1,detroit-catholic,catholic,0.11,0.856,0.0,0.0,-0.2774193548387098,0,0,12,13,25,0.0,1.0833333333333333
1,1762,2,detroit-catholic,catholic,0.04303599374021909,0.751,0.0,0.0,-0.2546491445574015,6,5,36,36,72,0.8333333333333334,1.0
2,1763,3,detroit-catholic,catholic,0.02422929183492564,0.775,0.01,0.05,-0.2932171728025658,9,9,74,69,143,1.0,0.9324324324324325
3,1764,4,detroit-catholic,catholic,0.024009694766340982,0.729,0.02,0.02,-0.2870790542154288,8,11,85,78,163,1.375,0.9176470588235294
4,1765,5,detroit-catholic,catholic,0.021548635987875448,0.721,0.0,0.02,-0.27884766340467854,11,14,102,89,191,1.2727272727272727,0.8725490196078431
5,1766,6,detroit-catholic,catholic,0.020430341230167355,0.69,0.0,0.01,-0.27234618536073046,7,9,112,103,215,1.2857142857142858,0.9196428571428571
6,1767,7,detroit-catholic,catholic,0.019421713038734315,0.658,0.0,0.02,-0.26970299529716246,9,9,122,113,235,1.0,0.9262295081967213
7,1768,8,detroit-catholic,catholic,0.01914689926603553,0.681,0.0,0.0,-0.27040958054260933,10,9,123,115,238,0.9,0.9349593495934959
8,1769,9,detroit-catholic,catholic,0.017161384090782043,0.698,0.0,0.02,-0.263897288980848,11,11,139,129,268,1.0,0.9280575539568345
9,1770,10,detroit-catholic,catholic,0.015328607012837708,0.682,0.01,0.0,-0.2639498432601881,10,13,157,150,307,1.3,0.9554140127388535
10,1771,11,detroit-catholic,catholic,0.014209325181989306,0.66,0.01,0.02,-0.2614319798572858,13,14,174,173,347,1.0769230769230769,0.9942528735632183
11,1772,12,detroit-catholic,catholic,0.013343227384535049,0.659,0.0,0.02,-0.2585017346582707,15,12,190,192,382,0.8,1.0105263157894737
12,1773,13,detroit-catholic,catholic,0.01243655675439481,0.7,0.0,0.05,-0.25585687513746874,15,10,210,213,423,0.6666666666666666,1.0142857142857142
13,1774,14,detroit-catholic,catholic,0.012078010186043401,0.632,0.01,0.02,-0.25634169545841484,13,9,225,233,458,0.6923076923076923,1.0355555555555556
14,1775,15,detroit-catholic,catholic,0.011787688598861134,0.619,0.01,0.01,-0.2524707567438531,14,10,238,253,491,0.7142857142857143,1.0630252100840336
15,1776,16,detroit-catholic,catholic,0.011545872239513859,0.618,0.01,0.0,-0.2516175120162448,13,8,250,270,520,0.6153846153846154,1.08
16,1777,17,detroit-catholic,catholic,0.01135524013221855,0.626,0.02,0.01,-0.24886495728277802,14,8,267,289,556,0.5714285714285714,1.0823970037453183
17,1778,18,detroit-catholic,catholic,0.010898878286553398,0.616,0.0,0.04,-0.2500052489470613,15,10,290,309,599,0.6666666666666666,1.0655172413793104
18,1779,19,detroit-catholic,catholic,0.010692290717968265,0.662,0.01,0.02,-0.2485997378887971,15,13,304,328,632,0.8666666666666667,1.0789473684210527
19,1780,20,detroit-catholic,catholic,0.010676545775177373,0.622,0.0,0.0,-0.24626751480971437,14,9,318,345,663,0.6428571428571429,1.0849056603773586
20,1781,21,detroit-catholic,catholic,0.010342766892901353,0.612,0.0,0.01,-0.242262505482526,15,10,332,353,685,0.6666666666666666,1.0632530120481927
21,1782,22,detroit-catholic,catholic,0.009643120864570715,0.628,0.0,0.01,-0.2417971391299003,17,14,357,385,742,0.8235294117647058,1.0784313725490196
22,1783,23,detroit-catholic,catholic,0.009302530342436064,0.645,0.01,0.0,-0.24353988868274573,16,17,370,399,769,1.0625,1.0783783783783785
23,1784,24,detroit-catholic,catholic,0.009233747154845746,0.622,0.01,0.07,-0.2413864006400756,10,20,384,413,797,2.0,1.0755208333333333
24,1785,25,detroit-catholic,catholic,0.008961297542401209,0.665,0.03,0.04,-0.24239136295655853,14,19,396,433,830,1.3571428571428572,1.0934343434343434
25,1786,26,detroit-catholic,catholic,0.008622669147630548,0.678,0.0,0.03,-0.2477137799988715,19,20,412,458,871,1.0526315789473684,1.1116504854368932
26,1787,27,detroit-catholic,catholic,0.008691479732603409,0.685,0.0,0.0,-0.24788921436239594,22,21,408,448,857,0.9545454545454546,1.0980392156862746
