degree,count
0,0
1,214
2,586
3,752
4,163
5,207
6,162
7,117
8,115
9,93
10,83
11,64
12,73
13,51
14,44
15,43
16,29
17,25
18,30
19,21
20,27
21,22
22,11
23,16
24,17
25,13
26,6
27,11
28,5
29,8
30,8
31,8
32,3
33,8
34,3
35,1
36,4
37,4
38,2
39,9
40,5
41,3
42,5
43,2
44,5
45,2
46,1
47,1
48,2
49,1
50,1
51,0
52,4
53,0
54,0
55,1
56,1
57,1
58,1
59,3
60,1
61,1
62,0
63,1
64,1
65,0
66,1
67,0
68,0
69,0
70,0
71,1
72,1
73,0
74,0
75,1
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,1
94,0
95,0
96,0
97,1
