,year,source,target
0,1660,Hendrick  Martensen,Margriet  Meyringh
1,1660,Jane  Jansen,Catharina  Mattyssen
0,1660,Hendrick  Martensen,Christian Niesen Romp
1,1660,Jane  Jansen,Albert  Roose
0,1660,Hendrick  Martensen,Jane  Jansen
1,1660,Jane  Jansen,Margriet  Chambrits
1,1660,Jane  Jansen,Enn  Bloem
0,1660,Hendrick  Martensen,Geurt  Adriaense
0,1660,Hendrick  Martensen,Aeltjen  Klaes
0,1660,Margriet  Meyringh,Christian Niesen Romp
1,1660,Catharina  Mattyssen,Albert  Roose
0,1660,Margriet  Meyringh,Jane  Jansen
1,1660,Catharina  Mattyssen,Margriet  Chambrits
1,1660,Catharina  Mattyssen,Enn  Bloem
0,1660,Margriet  Meyringh,Geurt  Adriaense
0,1660,Margriet  Meyringh,Aeltjen  Klaes
0,1660,Christian Niesen Romp,Jane  Jansen
1,1660,Albert  Roose,Margriet  Chambrits
1,1660,Albert  Roose,Enn  Bloem
0,1660,Christian Niesen Romp,Geurt  Adriaense
0,1660,Christian Niesen Romp,Aeltjen  Klaes
1,1660,Margriet  Chambrits,Enn  Bloem
0,1660,Jane  Jansen,Geurt  Adriaense
0,1660,Jane  Jansen,Aeltjen  Klaes
0,1660,Geurt  Adriaense,Aeltjen  Klaes
2,1661,Jacob  Barentsen,Maritie  Simones
3,1661,Andries  Barentsen,Hilletjen  Henderickse
4,1661,Geertruy Jansen Van Campen,Matilda  Stoffelse
5,1661,Mattheus  Roelofse,Aaltie  Sybrants
6,1661,Aard Pietersen Tack,Annatie  Adriaensen
7,1661,Jurian  Westfael,Maritie  Heyns
8,1661,Lowi  Duboi,Cateryn  Blanchan
9,1661,Evert  Pels,Jannitie  Simones
10,1661,Peter  Winnen,Jannitie  Alberts
2,1661,Jacob  Barentsen,Evert  Pels
3,1661,Andries  Barentsen,Tryntie  Tysen
4,1661,Geertruy Jansen Van Campen,Jacob Jansen Van Campen
5,1661,Mattheus  Roelofse,Christian Niesen Romp
6,1661,Aard Pietersen Tack,Andries  Harmensen
7,1661,Jurian  Westfael,Enn  Bloem
8,1661,Lowi  Duboi,Antoine  Crepel
9,1661,Evert  Pels,Gideon  Schaets
10,1661,Peter  Winnen,Nicholas  Alberts
2,1661,Jacob  Barentsen,Jannitie  Simones
3,1661,Andries  Barentsen,Marretjen  Heyns
4,1661,Geertruy Jansen Van Campen,Jurian  Westfael
5,1661,Mattheus  Roelofse,Jane  Petersen
6,1661,Aard Pietersen Tack,Peter  Loockermans
7,1661,Jurian  Westfael,Aeltjen  Wiggers
8,1661,Lowi  Duboi,Maddeleen  Joorise
9,1661,Evert  Pels,Annatie  Schaets
10,1661,Peter  Winnen,Rebecca  Alberts
3,1661,Andries  Barentsen,William  Petersen
4,1661,Geertruy Jansen Van Campen,Marretjen  Heyns
5,1661,Mattheus  Roelofse,Johannes  Ransou
6,1661,Aard Pietersen Tack,Geurt  Adriaense
7,1661,Jurian  Westfael,Peter  Jacobs
3,1661,Andries  Barentsen,Hendrick  Arentsen
4,1661,Geertruy Jansen Van Campen,Tryntie Tyssen Boys
5,1661,Mattheus  Roelofse,Cateryn  Mattyssen
7,1661,Jurian  Westfael,Peter  Jansen
5,1661,Mattheus  Roelofse,Hilletie  Jacobs
2,1661,Maritie  Simones,Evert  Pels
3,1661,Hilletjen  Henderickse,Tryntie  Tysen
4,1661,Matilda  Stoffelse,Jacob Jansen Van Campen
5,1661,Aaltie  Sybrants,Christian Niesen Romp
6,1661,Annatie  Adriaensen,Andries  Harmensen
7,1661,Maritie  Heyns,Enn  Bloem
8,1661,Cateryn  Blanchan,Antoine  Crepel
9,1661,Jannitie  Simones,Gideon  Schaets
10,1661,Jannitie  Alberts,Nicholas  Alberts
2,1661,Maritie  Simones,Jannitie  Simones
3,1661,Hilletjen  Henderickse,Marretjen  Heyns
4,1661,Matilda  Stoffelse,Jurian  Westfael
5,1661,Aaltie  Sybrants,Jane  Petersen
6,1661,Annatie  Adriaensen,Peter  Loockermans
7,1661,Maritie  Heyns,Aeltjen  Wiggers
8,1661,Cateryn  Blanchan,Maddeleen  Joorise
9,1661,Jannitie  Simones,Annatie  Schaets
10,1661,Jannitie  Alberts,Rebecca  Alberts
3,1661,Hilletjen  Henderickse,William  Petersen
4,1661,Matilda  Stoffelse,Marretjen  Heyns
5,1661,Aaltie  Sybrants,Johannes  Ransou
6,1661,Annatie  Adriaensen,Geurt  Adriaense
7,1661,Maritie  Heyns,Peter  Jacobs
3,1661,Hilletjen  Henderickse,Hendrick  Arentsen
4,1661,Matilda  Stoffelse,Tryntie Tyssen Boys
5,1661,Aaltie  Sybrants,Cateryn  Mattyssen
7,1661,Maritie  Heyns,Peter  Jansen
5,1661,Aaltie  Sybrants,Hilletie  Jacobs
2,1661,Evert  Pels,Jannitie  Simones
3,1661,Tryntie  Tysen,Marretjen  Heyns
4,1661,Jacob Jansen Van Campen,Jurian  Westfael
5,1661,Christian Niesen Romp,Jane  Petersen
6,1661,Andries  Harmensen,Peter  Loockermans
7,1661,Enn  Bloem,Aeltjen  Wiggers
8,1661,Antoine  Crepel,Maddeleen  Joorise
9,1661,Gideon  Schaets,Annatie  Schaets
10,1661,Nicholas  Alberts,Rebecca  Alberts
3,1661,Tryntie  Tysen,William  Petersen
4,1661,Jacob Jansen Van Campen,Marretjen  Heyns
5,1661,Christian Niesen Romp,Johannes  Ransou
6,1661,Andries  Harmensen,Geurt  Adriaense
7,1661,Enn  Bloem,Peter  Jacobs
3,1661,Tryntie  Tysen,Hendrick  Arentsen
4,1661,Jacob Jansen Van Campen,Tryntie Tyssen Boys
5,1661,Christian Niesen Romp,Cateryn  Mattyssen
7,1661,Enn  Bloem,Peter  Jansen
5,1661,Christian Niesen Romp,Hilletie  Jacobs
3,1661,Marretjen  Heyns,William  Petersen
4,1661,Jurian  Westfael,Marretjen  Heyns
5,1661,Jane  Petersen,Johannes  Ransou
6,1661,Peter  Loockermans,Geurt  Adriaense
7,1661,Aeltjen  Wiggers,Peter  Jacobs
3,1661,Marretjen  Heyns,Hendrick  Arentsen
4,1661,Jurian  Westfael,Tryntie Tyssen Boys
5,1661,Jane  Petersen,Cateryn  Mattyssen
7,1661,Aeltjen  Wiggers,Peter  Jansen
5,1661,Jane  Petersen,Hilletie  Jacobs
3,1661,William  Petersen,Hendrick  Arentsen
4,1661,Marretjen  Heyns,Tryntie Tyssen Boys
