,year,source,target
0,1794,Daniel  Mosser,Magdalena Magdalena Mosser
1,1794,Wilhelm  Sanerwein,Elizabeth Margaret Daniels
2,1794,George  Humelong,Elizabeth Anna Maria Humelong
3,1794,Martin  Rishel,Catharina  Jonathan
4,1794,David  Weber,Eva George Michnel
5,1794,John  Brown,Eva Maria Margaretha Brown
6,1794,Henry  Diel,Rebecca  Hennrick
7,1794,Adam  Rishel,Elizabeth  Salome
8,1794,Frederick  Hennig,Elizabeth  Wilhelm
9,1795,Philip  Diel,Anna Maria Fredericksz
10,1795,Jeremiah  Trautner,Elizabeth  Trautner
11,1795,Johannes  Heple,Elis  Wilhelm
13,1795,Johannes  Freyberger,Elizabeth  Freyberger
14,1795,Philip  Mosser,Maria Barbara Mosser
17,1795,Johannes  Motz,Susanna  Motz
19,1795,Peter  Heckman,Salome  Heckman
21,1795,Conrad  Dielman,Catharina  Dielman
23,1795,Leonhart  Willeman,Margeret Elizabeth Willeman
25,1795,Martin  Troester,Christina  Troester
32,1796,Daniel  Mosser,Maria  Mosser
34,1796,Johnannes  Stober,Maria Magdalena Stober
37,1796,Philip  Gunkel,Elizabeth  Gunkel
38,1796,Henry  Herper,Eva Catherine Herper
39,1796,Geo Adam Hans,Maria Margaretha Hans
40,1796,Joh  Miller,Anna Maria Miller
41,1796,Adam  Leidig,Catharina  Leidig
42,1796,Adam  Klinger,Catharina  Klinger
43,1796,Benjamin  Ried,Catharina  Ried
44,1796,Adam  Stober,Christina  Stober
45,1796,Jacob  Brown,Eva Joh Philips
46,1796,John  Brown,Eva  Valentine
47,1796,Adam  Stober,Elizabeth  Stober
48,1796,David  Weber,Eva Sara Weber
49,1796,John  Weber,Eva  Adam
50,1796,John  Mitshel,Salome  Mitshel
51,1796,Johannes  Spengler,Elizabeth  Spengler
53,1796,David  Miller,Susanna  Miller
55,1797,Fried  Stroh,Elizabeth  Stroh
57,1802,Henry  Krebs,Laria  Krebs
58,1802,Philip  Theobold,Eva  Theobold
69,1802,Jacob  Kepler,Catharina  Kepler
70,1802,Johannes  Stober,Catharina  Stober
71,1802,George  Nies,Salome  Nies
74,1802,Adam  Ceho,Catharina Geo Michaels
77,1802,Johannes  Michel,Rachel  Michel
79,1802,Adam  Huber,Eva  Jonathan
81,1802,Christian  Krebs,Margriet  Krebs
82,1802,Flint  Berner,Elizabeth  Berner
