,year,source,target
18,1748,Nicholas  Kauffelt,Barbara  Kauffelt
18,1748,Nicholas  Kauffelt,Johannes Michael Rausch
18,1748,Barbara  Kauffelt,Johannes Michael Rausch
18,1748,Nicholas  Kauffelt,Maria Eliesabetha Rausch Rausch
18,1748,Barbara  Kauffelt,Maria Eliesabetha Rausch Rausch
18,1748,Johannes Michael Rausch,Maria Eliesabetha Rausch Rausch
19,1750,Nicholas  Kauffelt,Barbara  Kauffelt
19,1750,Nicholas  Kauffelt,Johannes Jacob Wolff
19,1750,Barbara  Kauffelt,Johannes Jacob Wolff
19,1750,Nicholas  Kauffelt,Maria Salome Rausch
19,1750,Barbara  Kauffelt,Maria Salome Rausch
19,1750,Johannes Jacob Wolff,Maria Salome Rausch
134,1752,Lorentz  Hirschener,Johannes  Schultz
134,1752,Wife Of Lorentz Herschner,Johannes  Schultz
134,1752,Lorentz  Hirschener,Wife Of Lorentz Herschner
41,1755,Paulus  Schafer,Anna Elizabeth Bard
12,1755,Johannes Nicolaus Deh,Anna Margaretha Abel
22,1755,Heinrich  Stoll,Anna Margaretha Bayer
22,1755,Sussana  Stoll,Anna Margaretha Bayer
22,1755,Johannes  Bayer,Anna Margaretha Bayer
42,1755,Georg Philipp Lantz,Anna Margaretha Muhlhof
42,1755,Georg Philipp Lantz,Anna Maria  Weber
42,1755,Anna Margaretha Muhlhof,Anna Maria  Weber
42,1755,Maria Elizabeth Schmitt,Anna Maria  Weber
29,1755,Johannes  Hahn,Anna Maria Bentz
29,1755,Eliesabetha Margaretha Hahn,Anna Maria Bentz
29,1755,Johannes Samuel Schwerdtfeger,Anna Maria Bentz
12,1755,Johannes Nicolaus Deh,Christina  Attich
12,1755,Anna Margaretha Abel,Christina  Attich
12,1755,Peter  Attich,Christina  Attich
3,1755,Peter  Dritt,Christina  Michel
3,1755,Maria Barbara Dellinger,Christina  Michel
3,1755,Paulus  Michel,Christina  Michel
10,1755,Peter  Imschwiller,Christoph  Tol
10,1755,Maria Eva Imschwiller,Christoph  Tol
29,1755,Johannes  Hahn,Eliesabetha Margaretha Hahn
10,1755,Peter  Imschwiller,Eva Margaretha Tol
10,1755,Maria Eva Imschwiller,Eva Margaretha Tol
10,1755,Christoph  Tol,Eva Margaretha Tol
9,1755,Philip  Bentz,Heinrich  Liebharth
9,1755,Maria Magdalena Bentz,Heinrich  Liebharth
22,1755,Heinrich  Stoll,Johannes  Bayer
22,1755,Sussana  Stoll,Johannes  Bayer
7,1755,Philip  Muhlhof,Johannes Adam Gartner
7,1755,Luise Catharina Muhlhof,Johannes Adam Gartner
16,1755,Michael  Wallendin,Johannes Adam Paulis
16,1755,Maria Elizabeth Dietenhofer,Johannes Adam Paulis
29,1755,Johannes  Hahn,Johannes Samuel Schwerdtfeger
29,1755,Eliesabetha Margaretha Hahn,Johannes Samuel Schwerdtfeger
16,1755,Michael  Wallendin,Juliana  Dietenhofer
16,1755,Maria Elizabeth Dietenhofer,Juliana  Dietenhofer
16,1755,Johannes Adam Paulis,Juliana  Dietenhofer
7,1755,Philip  Muhlhof,Luise Catharina Muhlhof
7,1755,Philip  Muhlhof,Maria Barbara Ament
7,1755,Luise Catharina Muhlhof,Maria Barbara Ament
7,1755,Johannes Adam Gartner,Maria Barbara Ament
3,1755,Peter  Dritt,Maria Barbara Dellinger
41,1755,Paulus  Schafer,Maria Barbara Kauffelt
41,1755,Anna Elizabeth Bard,Maria Barbara Kauffelt
41,1755,Nicklos  Kauffelt,Maria Barbara Kauffelt
0,1755,Adam  Gohn,Maria Barbara Schmelzer
0,1755,Maria Catharina Gohn,Maria Barbara Schmelzer
0,1755,Adam  Gohn,Maria Catharina Gohn
9,1755,Philip  Bentz,Maria Catharina Liebharth
9,1755,Maria Magdalena Bentz,Maria Catharina Liebharth
9,1755,Heinrich  Liebharth,Maria Catharina Liebharth
16,1755,Michael  Wallendin,Maria Elizabeth Dietenhofer
42,1755,Georg Philipp Lantz,Maria Elizabeth Schmitt
42,1755,Anna Margaretha Muhlhof,Maria Elizabeth Schmitt
10,1755,Peter  Imschwiller,Maria Eva Imschwiller
9,1755,Philip  Bentz,Maria Magdalena Bentz
41,1755,Paulus  Schafer,Nicklos  Kauffelt
41,1755,Anna Elizabeth Bard,Nicklos  Kauffelt
3,1755,Peter  Dritt,Paulus  Michel
3,1755,Maria Barbara Dellinger,Paulus  Michel
12,1755,Johannes Nicolaus Deh,Peter  Attich
12,1755,Anna Margaretha Abel,Peter  Attich
0,1755,Adam  Gohn,Sophia  Behner
0,1755,Maria Catharina Gohn,Sophia  Behner
0,1755,Maria Barbara Schmelzer,Sophia  Behner
0,1755,Veit  Behner,Sophia  Behner
22,1755,Heinrich  Stoll,Sussana  Stoll
0,1755,Adam  Gohn,Veit  Behner
0,1755,Maria Catharina Gohn,Veit  Behner
0,1755,Maria Barbara Schmelzer,Veit  Behner
37,1756,Johannes Wilhelm Michel,Anna Barbara Schonberger
65,1756,Peter  Attich,Anna Christina Attich
28,1756,Adam  Imenhauser,Anna Margaretha Imenhauser
25,1756,Johannes  Cron,Anna Maria Cron
23,1756,Jacob  Leber,Anna Maria Leber
25,1756,Johannes  Cron,Anna Maria Leber
25,1756,Anna Maria Cron,Anna Maria Leber
25,1756,Johannes Jacob Leber,Anna Maria Leber
28,1756,Adam  Imenhauser,Anna Maria Wolff
39,1756,Christoph  Schafer,Anna Maria Wolff
28,1756,Anna Margaretha Imenhauser,Anna Maria Wolff
39,1756,Sybilla Christina Bard,Anna Maria Wolff
28,1756,Heinrich  Wolff,Anna Maria Wolff
39,1756,Heinrich  Wolff,Anna Maria Wolff
20,1756,Johannes Nicolaus Sen Geipp,Anna Scharlotta Geipp
37,1756,Johannes Wilhelm Michel,Balthaser  Schonberger
37,1756,Anna Barbara Schonberger,Balthaser  Schonberger
65,1756,Peter  Attich,Catharina Elizabeth Abel
65,1756,Anna Christina Attich,Catharina Elizabeth Abel
21,1756,Jacob  Riemann,Christina  Riemann
20,1756,Johannes Nicolaus Sen Geipp,Conrad  Dietz
20,1756,Anna Scharlotta Geipp,Conrad  Dietz
49,1756,Jacob  Michel,Eliesabetha  Michel
30,1756,Johannes  Hahn,Eliesabetha Margaretha Hahn
23,1756,Jacob  Leber,Eva  Reissinger
23,1756,Anna Maria Leber,Eva  Reissinger
23,1756,Johannes Nicolaus Reissinger,Eva  Reissinger
21,1756,Jacob  Riemann,Heinrich  Liebharth
21,1756,Christina  Riemann,Heinrich  Liebharth
28,1756,Adam  Imenhauser,Heinrich  Wolff
39,1756,Christoph  Schafer,Heinrich  Wolff
28,1756,Anna Margaretha Imenhauser,Heinrich  Wolff
39,1756,Sybilla Christina Bard,Heinrich  Wolff
25,1756,Johannes  Cron,Johannes Jacob Leber
25,1756,Anna Maria Cron,Johannes Jacob Leber
23,1756,Jacob  Leber,Johannes Nicolaus Reissinger
23,1756,Anna Maria Leber,Johannes Nicolaus Reissinger
1,1756,Adam  Gohn,Ludwig  Meyer
1,1756,Maria Catharina Gohn,Ludwig  Meyer
1,1756,Maria Sophia Behner,Ludwig  Meyer
1,1756,Adam  Gohn,Margriet  Meyer
1,1756,Maria Catharina Gohn,Margriet  Meyer
1,1756,Maria Sophia Behner,Margriet  Meyer
1,1756,Ludwig  Meyer,Margriet  Meyer
30,1756,Johannes  Hahn,Maria Barbara Dellinger
30,1756,Eliesabetha Margaretha Hahn,Maria Barbara Dellinger
1,1756,Adam  Gohn,Maria Catharina Gohn
6,1756,Heinrich  Liebharth,Maria Catharina Liebharth
21,1756,Jacob  Riemann,Maria Catharina Liebharth
21,1756,Christina  Riemann,Maria Catharina Liebharth
21,1756,Heinrich  Liebharth,Maria Catharina Liebharth
6,1756,Heinrich  Liebharth,Maria Elizabeth Ament
6,1756,Maria Catharina Liebharth,Maria Elizabeth Ament
37,1756,Johannes Wilhelm Michel,Maria Margaretha Michel
37,1756,Anna Barbara Schonberger,Maria Margaretha Michel
37,1756,Balthaser  Schonberger,Maria Margaretha Michel
1,1756,Adam  Gohn,Maria Sophia Behner
1,1756,Maria Catharina Gohn,Maria Sophia Behner
49,1756,Jacob  Michel,Peter  Bentz
49,1756,Eliesabetha  Michel,Peter  Bentz
30,1756,Johannes  Hahn,Samuel  Schwerdtfeger
30,1756,Eliesabetha Margaretha Hahn,Samuel  Schwerdtfeger
30,1756,Maria Barbara Dellinger,Samuel  Schwerdtfeger
20,1756,Johannes Nicolaus Sen Geipp,Sussana Catharina Dietz
20,1756,Anna Scharlotta Geipp,Sussana Catharina Dietz
20,1756,Conrad  Dietz,Sussana Catharina Dietz
39,1756,Christoph  Schafer,Sybilla Christina Bard
138,1757,Lorentz  Hirschener,Andries  Bausmann
138,1757,Wife Of Lorentz Herschner,Andries  Bausmann
38,1757,Johannes Wilhelm Michel,Anna Barbara Schonberger
26,1757,Johannes  Cron,Anna Christina Attich
26,1757,Anna Maria Cron,Anna Christina Attich
26,1757,Peter  Attich,Anna Christina Attich
34,1757,Johannes  Bayer,Anna Margaretha Bayer
27,1757,Adam  Imenhauser,Anna Margaretha Imenhauser
8,1757,Philip  Muhlhof,Anna Margaretha Lantz
8,1757,Luise Catharina Muhlhof,Anna Margaretha Lantz
8,1757,Philip  Lantz,Anna Margaretha Lantz
43,1757,Mattheus  Demuth,Anna Maria Brehm
26,1757,Johannes  Cron,Anna Maria Cron
33,1757,Michael  Zimermann,Catharina  Paulis
33,1757,Maria Magdalena Zimermann,Catharina  Paulis
33,1757,Michael  Paulis,Catharina  Paulis
139,1757,Lorentz  Hirschener,Gorg  Wambach
139,1757,Wife Of Lorentz Herschner,Gorg  Wambach
140,1757,Lorentz  Hirschener,Heinrich  Lipphard
140,1757,Wife Of Lorentz Herschner,Heinrich  Lipphard
34,1757,Johannes  Bayer,Heinrich  Stoll
