,year,source,target
95,1727,Jacob  Zeiter,Jacob  Albrecht
95,1727,Jacob  Zeiter,Wife Of Jacob Albrecht
95,1727,Jacob  Albrecht,Wife Of Jacob Albrecht
12,1752,Gottlieb David Ettle,Michael  Kessinger
12,1752,Gottlieb David Ettle,Catharina Margaret Shaul
12,1752,Michael  Kessinger,Catharina Margaret Shaul
13,1755,Gottlieb David Ettle,Ulrich  Hubscher
13,1755,Gottlieb David Ettle,Wife Of Ulrich Hubscher
13,1755,Ulrich  Hubscher,Wife Of Ulrich Hubscher
20,1756,Frederick  Hummel,Simon  Bauer
24,1756,Jacob  Albrecht,Franz  Newcome
20,1756,Frederick  Hummel,Eva  Oberline
24,1756,Jacob  Albrecht,Wife Of Franz Newcome
20,1756,Simon  Bauer,Eva  Oberline
24,1756,Franz  Newcome,Wife Of Franz Newcome
0,1757,John Conrad Wolfley,Jacob  Lenz
1,1757,John  Armbruster,George  Slener
2,1757,Johannes  Deiss,George  Brumbach
3,1757,Daniel  Braun,George  Schuz
14,1757,Gottlieb David Ettle,Conrad  Wolffie
17,1757,John  Wunderich,J Dietrich Morrell
18,1757,Johannes  Leruh,John  Newcomer
19,1757,Michael Huber Jr,Mattheus  Wenner
0,1757,John Conrad Wolfley,Wife Of Jacob Lenz
1,1757,John  Armbruster,Wife Of George Slener
2,1757,Johannes  Deiss,Wife Of George Brumbach
14,1757,Gottlieb David Ettle,Wife Of Conrad Wolffie
17,1757,John  Wunderich,Wife Of Johannes Dietrich Morrell
18,1757,Johannes  Leruh,Wife Of John Newcomer
19,1757,Michael Huber Jr,Wife Of Matthew Wenner
0,1757,Jacob  Lenz,Wife Of Jacob Lenz
1,1757,George  Slener,Wife Of George Slener
2,1757,George  Brumbach,Wife Of George Brumbach
14,1757,Conrad  Wolffie,Wife Of Conrad Wolffie
17,1757,J Dietrich Morrell,Wife Of Johannes Dietrich Morrell
18,1757,John  Newcomer,Wife Of John Newcomer
19,1757,Mattheus  Wenner,Wife Of Matthew Wenner
4,1758,Jacob  Lenz,Jacob  Schutz
5,1758,Peter  Spengler,George  Bombach
6,1758,John Henry Retzel,Philip  Fishburn
7,1758,John  Braun,Michael  Fensel
8,1758,William  Denn,Christofel  Mauz
9,1758,John  Braun,Vincent  Kieffer
10,1758,Philip  Genter,Philip  Fishburn
21,1758,Christian  Alleman,George  Fry
