name,gender
Adriaantjen,female
Aertje,female
Agnietie,female
Annatie,female
Annetje,female
Ariaantje,female
Ariaentie,female
Bethi,female
Bethsie,female
Catalyna,female
Catalyntjen,female
Catryntie,female
Celle,female
Christyntie,female
Claartje,female
Dievertje,female
Eytje,female
Feitje,female
Femmetje,female
Francyntje,female
Geertruy,female
Hilletje,female
Hyitie,female
Ifje,female
Jacomin,female
Jesje,female
Jopje,female
Judic,female
Lammetje,female
Landje,female
Lvsbeth,female
Lybetie,female
Lyntje,female
Machtel,female
Machtilda,female
Maddelena,female
Maeyke,female
Mally,female
Margrietjen,female
Maritie,female
Marrvtje,female
Marryite,female
Marrytje,female
Maryke,female
Marytjen,female
Matje,female
Mayken,female
Meytie,female
Neeltie,female
Nelletie,female
Old,female
Philippina,female
Rosyna,female
Saartje,female
Santje,female
Styntje,female
Sydje,female
Sytje,female
Tryntje,female
Tysje,female
Wyntje,female
Ydje,female
Abalena,female
Abelena,female
Cunigunda,female
Tuilia,female
Elisabeath,female
