congregation,graph type,measure type,clustering,path length,density,community count,mod assort,deg assort,gender assort
albany-lutheran,archival,archival,0.755,7.863,0.01642094560244,15,0.907225109016372,-0.032419174750745,-0.2340461095789
detroit-catholic,archival,archival,0.666,3.815,0.007963235886372,16,0.631741969558122,0.065667166858896,-0.251026832540926
drc-albany,archival,archival,0.533,4.178,0.002554506179041,21,0.620069704097608,0.013022973338992,-0.205129428737138
drc-schoharie,archival,archival,0.743,5.541,0.031309617326899,9,0.869699424243087,-0.052150750379106,-0.283742331288343
fthunter-anglican,archival,archival,0.809,6.035,0.00847612039665,18,0.858832837796367,-0.029292443939523,-0.032802594421869
huguenot-nyc,archival,archival,0.695,4.722,0.00439929867752,20,0.751166424779251,0.017211838148011,-0.252415592970445
rensl-lutheran,archival,archival,0.757,7.393,0.008549042580456,20,0.890452201147974,0.029319223436936,-0.242226500795411
schoharie-lutheran,archival,archival,0.695,4.741,0.010058960157227,13,0.795436410036128,0.011424791254746,-0.173009822361248
albany-lutheran,powerlaw,greater,0,0,100,0,0,0,100
albany-lutheran,powerlaw,average,0.09028,2.73952,0.028157346212506,10.12,0.356396624082403,-0.100945478511035,-0.004244074677942
detroit-catholic,powerlaw,greater,0,0,100,0,0,0,100
detroit-catholic,powerlaw,average,0.05058,2.7274,0.014505193083436,9.73,0.269851589570909,-0.047537910124708,-0.003583526053829
drc-albany,powerlaw,greater,0,0,100,0,0,0,100
drc-albany,powerlaw,average,0.02331,3.02192,0.004720075262826,10.42,0.27939016320445,-0.034204072982951,-0.00017422269335
drc-schoharie,powerlaw,greater,0,0,100,1,0,0,100
drc-schoharie,powerlaw,average,0.14613,2.46646,0.05831332061497,7.91,0.35359703710171,-0.126876595651929,-0.013946316563501
fthunter-anglican,powerlaw,greater,0,0,100,0,0,0,98
fthunter-anglican,powerlaw,average,0.05632,2.75808,0.015765969375241,10.16,0.291230334539926,-0.056812937740016,-0.003232283145208
huguenot-nyc,powerlaw,greater,0,0,100,0,0,0,100
huguenot-nyc,powerlaw,average,0.03637,2.92904,0.008595503467822,10.61,0.296562248883213,-0.046639741549147,-0.001537583261819
rensl-lutheran,powerlaw,greater,0,0,100,0,0,0,100
rensl-lutheran,powerlaw,average,0.05563,2.98916,0.013887465065476,12.42,0.354859752621079,-0.080370052334152,-0.002436827402158
schoharie-lutheran,powerlaw,greater,0,0,100,0,0,0,100
schoharie-lutheran,powerlaw,average,0.06191,2.80511,0.017120064320172,10.79,0.319186281821806,-0.071537582402737,-0.002324756636424
albany-lutheran,dense gnm,greater,0,0,100,22,0,73,100
albany-lutheran,dense gnm,average,0.0147,0.3464,0.01642094560244,14.18,0.510391967204296,-0.009183662086467,0.003632908899522
detroit-catholic,dense gnm,greater,0,0,100,23,0,0,100
detroit-catholic,dense gnm,average,0.00753,2.26895,0.007963235886373,15.62,0.362742983149276,-0.002584068469628,-0.000798733294256
drc-albany,dense gnm,greater,0,0,100,62,0,5,100
drc-albany,dense gnm,average,0.00248,0.75101,0.002554506179041,22.31,0.351602740770059,-0.002335273541035,0.000248940445143
drc-schoharie,dense gnm,greater,0,0,100,76,0,69,100
drc-schoharie,dense gnm,average,0.0285,0.49916,0.031309617326899,10.76,0.536294864607408,-0.018244252675949,-0.00589778433969
fthunter-anglican,dense gnm,greater,0,0,100,10,0,93,95
