,year,density,clustering,preferential_edges,jacc_edges
0,1715,0.35555555555555557,0.898,0.0,0.0
1,1716,0.19607843137254902,0.757,0.01,0.01
2,1717,0.10037878787878787,0.716,0.0,0.0
3,1718,0.08181818181818182,0.848,0.0,0.04
4,1719,0.08686868686868687,0.822,0.0,0.05
5,1720,0.0782312925170068,0.832,0.0,0.0
6,1721,0.0782312925170068,0.845,0.0,0.0
7,1722,0.0782312925170068,0.832,0.0,0.0
8,1723,0.0782312925170068,0.846,0.0,0.0
9,1724,0.0782312925170068,0.852,0.0,0.0
10,1725,0.0782312925170068,0.831,0.0,0.0
11,1726,0.0782312925170068,0.847,0.0,0.0
12,1727,0.0782312925170068,0.839,0.0,0.0
13,1728,0.0782312925170068,0.841,0.0,0.0
14,1729,0.0782312925170068,0.829,0.0,0.0
15,1730,0.0782312925170068,0.84,0.0,0.0
16,1731,0.0782312925170068,0.84,0.0,0.0
17,1732,0.0782312925170068,0.826,0.0,0.0
18,1733,0.0782312925170068,0.834,0.0,0.0
19,1734,0.0782312925170068,0.846,0.0,0.0
20,1735,0.0782312925170068,0.843,0.0,0.0
21,1736,0.08416389811738649,0.837,0.0,0.0
22,1737,0.09309309309309309,0.866,0.0,0.0
23,1738,0.12,0.756,0.0,0.0
24,1739,0.39285714285714285,0.921,0.0,0.0
25,1740,1.0,1.0,0.0,0.0
26,1750,0.25757575757575757,0.941,0.0,0.0
27,1751,0.25757575757575757,0.936,0.0,0.0
28,1752,0.25757575757575757,0.948,0.0,0.0
29,1753,0.25757575757575757,0.942,0.0,0.0
30,1754,0.25757575757575757,0.95,0.0,0.0
31,1755,0.25757575757575757,0.937,0.0,0.0
32,1756,0.25757575757575757,0.937,0.0,0.0
33,1757,0.25757575757575757,0.96,0.0,0.0
34,1758,0.25757575757575757,0.942,0.0,0.0
35,1759,0.25757575757575757,0.927,0.0,0.0
36,1760,0.25757575757575757,0.935,0.0,0.0
37,1761,0.25757575757575757,0.938,0.0,0.0
38,1762,0.25757575757575757,0.945,0.0,0.0
39,1763,0.11688311688311688,0.6,0.0,0.0
40,1764,0.08620689655172414,0.687,0.0,0.0
41,1765,0.08064516129032258,0.719,0.0,0.0
42,1766,0.07394957983193277,0.653,0.0,0.0
43,1767,0.06756756756756757,0.588,0.0,0.0
44,1768,0.058279370952821465,0.505,0.0,0.02
45,1769,0.04824561403508772,0.436,0.0,0.0
46,1770,0.0456540825285338,0.435,0.0,0.08
47,1771,0.04839439167797377,0.356,0.0,0.01
48,1772,0.04491228070175438,0.424,0.01,0.02
49,1773,0.04116546377973804,0.519,0.0,0.02
50,1774,0.04187946884576098,0.574,0.0,0.04
51,1775,0.04187946884576098,0.6,0.0,0.0
52,1776,0.04187946884576098,0.58,0.0,0.0
53,1777,0.04187946884576098,0.59,0.0,0.0
54,1778,0.04187946884576098,0.568,0.0,0.0
55,1779,0.04187946884576098,0.566,0.0,0.0
56,1780,0.04187946884576098,0.616,0.0,0.0
57,1781,0.03927068723702665,0.59,0.0,0.0
58,1782,0.03636363636363636,0.557,0.0,0.01
59,1783,0.03297940797940798,0.544,0.0,0.0
60,1784,0.03286071726438699,0.516,0.0,0.0
61,1785,0.03295956506965681,0.56,0.0,0.0
62,1786,0.032818532818532815,0.543,0.0,0.01
63,1787,0.032175032175032175,0.526,0.0,0.0
64,1788,0.03212496315944592,0.553,0.0,0.04
65,1789,0.03325705568268497,0.602,0.0,0.01
66,1790,0.030392156862745098,0.605,0.02,0.02
67,1791,0.033087633087633087,0.584,0.0,0.01
68,1792,0.03271028037383177,0.652,0.0,0.02
69,1793,0.03504432075860647,0.588,0.0,0.0
70,1794,0.036604895904827274,0.604,0.0,0.02
71,1795,0.03614733470601693,0.585,0.0,0.01
72,1796,0.0363761153054221,0.596,0.0,0.0
73,1797,0.037625979843225084,0.574,0.0,0.02
74,1798,0.03715635738831615,0.583,0.02,0.0
75,1799,0.035527082119976704,0.598,0.0,0.01
76,1800,0.032883350640359986,0.553,0.0,0.01
77,1801,0.033229491173416406,0.582,0.0,0.02
78,1802,0.03144963144963145,0.54,0.0,0.01
79,1803,0.030244530244530245,0.568,0.0,0.01
80,1804,0.029320229320229322,0.612,0.0,0.01
81,1805,0.028919089759797723,0.619,0.0,0.03
82,1806,0.029156429156429155,0.645,0.0,0.0
