name,gender,dup
(wife),female,
Aaftje,female,
Aagie,female,
Aalte,female,
Aaltie,female,
Aardje,female,
Abalena,female,
Abelena,female,
Abelona,female,
Abija,female,
Abtie,female,
Ache,female,
Achtje,female,
Adoniah,female,
Adriaantje,female,
Adriaantjen,female,
Adriantie,female,
Aeche,female,
Aeffie,female,
Aegie,female,
Aelje,female,
Aeltie,female,
Aeltzia,female,
Aertie,female,
Aertje,female,
Aggelica,female,
Agness,female,
Agnetje,female,
Agnetta,female,
Agnietie,female,
Agnietje,female,
Agnoet,female,
Allete,female,
Altzia,female,
Amilia,female,
Amiza,female,
Amria,female,
Anatche,female,
Anatie,female,
Andreé,female,
Anetya,female,
Anganieta,female,
Anganietie,female,
Angéliqua,female,
Angelti,female,
Angen.,female,
Angeneta,female,
Angeniet,female,
Angenietche,female,
Angenitie,female,
Angentie,female,
Angietje,female,
Angilique,female,
Angje,female,
Angometie,female,
Annaca,female,
Annaetie,female,
Annaetje,female,
Annageert,female,
Annaitche,female,
Annamargrieta,female,
Annatgen,female,
Annatia,female,
Annatie,female,
Annatje,female,
Annatjen,female,
Annetie,female,
Annetje,female,
Anngenietie,female,
Annlizabeth,female,
Anthoine,female,
Anthoinette,female,
Antibby,female,
Antie,female,
Antye,female,
Apellone,female,
Apelonia,female,
Appalonia,female,
Araentje,female,
Archonia,female,
Ariaantie,female,
Ariaantje,female,
Ariaentie,female,
Arianche,female,
Ariangen,female,
Arianicke,female,
Ariantje,female,
Arianya,female,
Ariyaentie,female,
Ariyantie,female,
Aula,female,
Aulad,female,
Auladan,female,
Auladen,female,
Avje,female,
Baatie,female,
Balatie,female,
Bantie,female,
Barytie,female,
Bashabe,female,
Bathsheba,female,
Beckki,female,
Bekeltie,female,
Bekye,female,
Beletie,female,
Beletye,female,
Belletje,female,
Beniah,female,
Bennetie,female,
Bersheba,female,
Bertya,female,
Bethi,female,
Bethsie,female,
Betie,female,
Betje,female,
Betsay,female,
Betsey,female,
Betye,female,
Billi,female,
Biny,female,
Blandientie,female,
Brachtie,female,
Brechie,female,
Bretje,female,
Calia,female,
Caloline,female,
Carertie,female,
Carertye,female,
Carna,female,
Casha,female,
Cataleintje,female,
Cataleyna,female,
Cataliena,female,
Catalintje,female,
Catalyna,female,
Catalyntie,female,
Catalyntjen,female,
Catalyntya,female,
Catelijne,female,
Catelinjar,female,
Catelyntie,female,
Caterine,female,
Cathalina,female,
Cathalinya,female,
Cathalyna,female,
Cathar.,female,
Catharian,female,
Catharinne,female,
Cathrientie,female,
Cathrina,female,
Catie,female,
Catiena,female,
Catje,female,
Catlina,female,
Catlyntie,female,
Catreyna,female,
Catrieng,female,
Catrientie,female,
Catrina,female,
Catrintie,female,
Catryntie,female,
Catterine,female,
Cattria,female,
Cattrietie,female,
Cattyna,female,
Catye,female,
Celitje,female,
Celle,female,
Celliaan,female,
Cerlotte,female,
Charite,female,
Chestien,female,
Chestina,female,
Chistina,female,
Chrisie,female,
Christyntie,female,
Claartie,female,
Claartje,female,
Claertie,female,
Claertje,female,
Clarina,female,
Claudinne,female,
Clea,female,
Clody,female,
Cloe,female,
Cobitje,female,
Comfort,female,
Commertje,female,
Content,female,
Corneila,female,
Cornelia,female,
Crestena,female,
Cunigunda,female,
Cunira,female,
Dame,female,
Danega,female,
Danetya,female,
daughter,female,
Debora,female,
Deborak,female,
Dedy,female,
Denize,female,
der,female,
Derica,female,
Derickje,female,
Derickye,female,
Derike,female,
Derkye,female,
Dievertje,female,
Dintie,female,
Dirckje,female,
Dirrikje,female,
Ditje,female,
Docia,female,
Dominique,female,
Doreta,female,
Dorethe,female,
Dorety,female,
Dorkis,female,
Dosia,female,
Dyna,female,
Eagie,female,
Ebbetie,female,
Ebbitje,female,
Eegje,female,
Eelena,female,
Egbertie,female,
Eghye,female,
Egtie,female,
Egye,female,
Eilse,female,
Eitje,female,
Eitye,female,
Elce,female,
Eleonara,female,
Eliesebeth,female,
Elionera,female,
Elisabeath,female,
Elisee,female,
Ellenor,female,
Elstie,female,
Elsye,female,
Eltie,female,
Emche,female,
Emicke,female,
Emitie,female,
Emmche,female,
Emmetie,female,
Emmetje,female,
Eneltie,female,
Engelje,female,
Engeltie,female,
Esaie,female,
Esters,female,
Etie,female,
Eutike,female,
Experience,female,
Eyda,female,
Eydya,female,
Eypjen,female,
Eytie,female,
Eytje,female,
Famige,female,
Famitie,female,
Fanno,female,
Fayna,female,
Feilleph,female,
Feitje,female,
Felicite,female,
Felte,female,
Femeke,female,
Femitie,female,
Femmerje,female,
Femmete,female,
Femmetje,female,
Femmetye,female,
Femmitie,female,
Femmtie,female,
Feytie,female,
Fibia,female,
Fiby,female,
Fitie,female,
Floor,female,
Florance,female,
Florias,female,
Florinde,female,
Folkey,female,
Folkye,female,
Francientie,female,
Francina,female,
Francoise,female,
Francyntie,female,
Francyntje,female,
Franseyntje,female,
Fransisca,female,
Fransynche,female,
Fransyntje,female,
Franzyntie,female,
Fredrica,female,
Frena,female,
Frenkye,female,
Freyntje,female,
Freytje,female,
Frina,female,
Fryna,female,
Fydge,female,
Geannette,female,
Geertie,female,
Geertray,female,
Geertringt,female,
Geertruid,female,
Geertruy,female,
Geertury,female,
Geeshi,female,
Geesie,female,
Gelyn,female,
Geneviéve,female,
Gerdraut,female,
Gerrerje,female,
Gerritie,female,
Gerritje,female,
Gertrauth,female,
Gertruit,female,
Gesiah,female,
Gezyna,female,
Ghemini,female,
Gitty,female,
Glodine,female,
Gratiosa,female,
Grietien,female,
Guertru,female,
Hanatye,female,
Hannatie,female,
Hannicel,female,
Hannike,female,
Hariatie,female,
Harmptje,female,
Harmtje,female,
Helegonde,female,
Heleine,female,
Helena,female,
Heleng,female,
Helenne,female,
Hellegontie,female,
Helletje,female,
Hendericka,female,
Hendericky,female,
Hendricka,female,
Hendrickie,female,
Heneriche,female,
Hennerica,female,
Hermptje,female,
Herreantje,female,
Hessie,female,
Hildegond,female,
Hillegond,female,
Hillegont,female,
Hillegontie,female,
Hilletie,female,
Hilletje,female,
his,female,
Hitie,female,
Hittebel,female,
Hopestill,female,
Hyitie,female,
Hyndeltie,female,
Hypoleth,female,
Hypolite,female,
Hytie,female,
Ide,female,
Ifje,female,
Isabeth,female,
Isarell,female,
Issabella,female,
Issel,female,
Itie,female,
Iwiy,female,
Jacamine,female,
Jacamyntie,female,
Jackamyntie,female,
Jacobintje,female,
Jacobmyntche,female,
Jacomin,female,
Jacomyntje,female,
Jaeamine,female,
Jamaike,female,
Jamine,female,
Janche,female,
JaneVan,female,
Janike,female,
Janitie,female,
