congregation,graph type,measure type,clustering,path length,density,community count,mod assort,deg assort,gender assort
albany-lutheran,archival,archival,0.78,7.772,0.01642094560244,15,0.907179907179907,-0.032419174750745,-0.183853597311632
schoharie-lutheran,archival,archival,0.7000000000000001,4.728,0.010058960157227001,13,0.784773583497112,0.011424791254746,-0.09810740339522
drc-albany,archival,archival,0.535,4.209,0.002554506179041,24,0.632016599882955,0.013022973338992001,-0.20903505372472803
rensl-lutheran,archival,archival,0.773,7.433,0.008549042580456,21,0.888266524764413,0.029319223436936003,-0.20899706586528502
huguenot-nyc,archival,archival,0.674,4.748,0.0043992986775200004,20,0.7523321283104051,0.017211838148011003,-0.18816848190249802
fthunter-anglican,archival,archival,0.845,5.839,0.008476120396650001,18,0.8643455215424191,-0.029292443939523002,-0.022673232602629
drc-schoharie,archival,archival,0.728,5.647,0.031309617326899006,9,0.8696118879842271,-0.052150750379106006,-0.28374233128834303
detroit-catholic,archival,archival,0.669,3.841,0.007963235886372001,20,0.6234361299790221,0.06566716685889601,-0.18711884497324402
albany-lutheran,powerlaw,greater,0,0,1,0,0,0,1
albany-lutheran,powerlaw,average,0.092,2.745,0.028164717844433147,11.0,0.35289662200736416,-0.07259914795405698,-0.006931714818304843
schoharie-lutheran,powerlaw,greater,0,0,1,0,0,0,1
schoharie-lutheran,powerlaw,average,0.053,2.745,0.01712226788160324,11.0,0.31389981241491555,-0.07061059911228953,-0.011462629795477476
drc-albany,powerlaw,greater,0,0,1,0,0,0,1
drc-albany,powerlaw,average,0.027,3.014,0.004720139199693103,10.0,0.2857441370093067,-0.03731436573574292,-0.003265861105899429
rensl-lutheran,powerlaw,greater,0,0,1,0,0,0,1
rensl-lutheran,powerlaw,average,0.054,2.982,0.013888380380526977,13.0,0.34664868646380315,-0.08076806144469842,0.04507407261457453
huguenot-nyc,powerlaw,greater,0,0,1,0,0,0,1
huguenot-nyc,powerlaw,average,0.039,2.898,0.008594820764524254,10.0,0.288251867069539,-0.05018067873861528,-0.01001599860640341
fthunter-anglican,powerlaw,greater,0,0,1,0,0,0,1
fthunter-anglican,powerlaw,average,0.051,2.781,0.01576439258558464,11.0,0.29860601345549465,-0.03623690095648771,0.015462681314598244
drc-schoharie,powerlaw,greater,0,0,1,0,0,0,1
drc-schoharie,powerlaw,average,0.158,2.426,0.05824262147907081,7.0,0.365011923405467,-0.12299299223021008,-0.10875560600703434
detroit-catholic,powerlaw,greater,0,0,1,0,0,0,1
detroit-catholic,powerlaw,average,0.046,2.742,0.014504931850984303,10.0,0.27629504950888867,-0.051738708558856907,-0.02603102729890428
albany-lutheran,dense gnm,greater,0,0,1,0,0,1,1
albany-lutheran,dense gnm,average,0.011,0.0,0.016420945602440264,15.0,0.5229822473219033,-0.005883970305196849,0.017719600379896654
schoharie-lutheran,dense gnm,greater,0,0,1,1,0,0,1
schoharie-lutheran,dense gnm,average,0.006,0.0,0.010058960157227086,16.0,0.4357940015626036,-0.03566820011020657,0.01474328951759688
drc-albany,dense gnm,greater,0,0,1,0,0,0,1
drc-albany,dense gnm,average,0.002,0.0,0.002554506179041495,21.0,0.35683287461976343,-0.020439441158877567,0.000759041814482776
rensl-lutheran,dense gnm,greater,0,0,1,0,0,0,1
rensl-lutheran,dense gnm,average,0.011,0.0,0.008549042580456193,20.0,0.4888434572250249,-0.02841626037922432,-0.02130099992608246
huguenot-nyc,dense gnm,greater,0,0,1,1,0,1,1
huguenot-nyc,dense gnm,average,0.005,0.0,0.00439929867752096,23.0,0.4194852043036782,0.0177647718578116,-0.0056428455460426526
fthunter-anglican,dense gnm,greater,0,0,1,0,0,1,1
fthunter-anglican,dense gnm,average,0.009,0.0,0.008476120396650197,17.0,0.4128788925589448,-0.001935067573010073,-0.009591567501162747
drc-schoharie,dense gnm,greater,0,0,1,1,0,0,1
drc-schoharie,dense gnm,average,0.034,0.0,0.03130961732689934,14.0,0.5201439524783386,-0.136621663659553,0.003123192596876834
detroit-catholic,dense gnm,greater,0,0,1,0,0,0,1
detroit-catholic,dense gnm,average,0.011,3.634,0.00796323588637259,15.0,0.3625572230250259,-0.00475670048002143,-0.0005766573068222538
albany-lutheran,caveman,greater,1,0,1,0,1,1,1
albany-lutheran,caveman,average,0.963,4.329,0.06319702602230483,15.0,0.9836600742126579,0.01062920212945551,0.010423435834784755
schoharie-lutheran,caveman,greater,1,0,1,0,1,0,1
schoharie-lutheran,caveman,average,0.973,3.052,0.07530647985989491,13.0,0.9896934404042254,0.008114270681422148,0.00014261345013780795
drc-albany,caveman,greater,1,0,1,0,1,0,1
drc-albany,caveman,average,0.994,3.121,0.04134191799390037,24.0,0.9973112204179886,0.001834472349801919,0.002373794529076645
rensl-lutheran,caveman,greater,1,0,1,0,1,0,1
rensl-lutheran,caveman,average,0.982,4.578,0.045936395759717315,21.0,0.9914529864150777,0.01066378540804949,-0.006319758605208563
huguenot-nyc,caveman,greater,1,0,1,0,1,0,1
huguenot-nyc,caveman,average,0.988,3.322,0.049311094996374184,20.0,0.9955355137814349,0.00035571984824768016,-0.005133352326906575
fthunter-anglican,caveman,greater,1,0,1,0,1,1,1
fthunter-anglican,caveman,average,0.97,3.683,0.054304635761589407,18.0,0.9927580768779265,0.0023490489483720504,0.007150852203855658
drc-schoharie,caveman,greater,1,0,1,0,1,1,1
drc-schoharie,caveman,average,0.903,3.218,0.104,9.0,0.9628888883291309,-0.004313436780267781,0.005021920124690733
detroit-catholic,caveman,greater,1,0,1,0,1,0,1
detroit-catholic,caveman,average,0.978,3.355,0.04898828541001065,20.0,0.9915283104178776,-0.0015553080249347982,0.0023390658572893493
