,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1786,3,albany-lutheran,lutheran,0.35714285714285715,0.833,-0.19999999999999996,-0.6666666666666787,1.0,0,0,0.3,0.2,0.2,4,4,8,0.0,0.5
1,1787,4,albany-lutheran,lutheran,0.20952380952380953,0.872,-0.2727272727272727,-0.014184397163120399,1.0,1,0,0.3181818181818182,0.18181818181818182,0.18181818181818182,7,8,15,0.0,0.5333333333333333
2,1788,5,albany-lutheran,lutheran,0.06859903381642513,0.849,-0.19533193036158408,0.181084198385236,0.9513309722380898,1,3,0.2887323943661972,0.2112676056338028,0.16901408450704225,25,20,46,0.75,0.43478260869565216
3,1789,6,albany-lutheran,lutheran,0.05182443151771549,0.802,-0.21122479991895482,-0.04975005950964043,0.9298956780923994,1,3,0.29591836734693877,0.20408163265306123,0.17346938775510204,33,28,62,0.75,0.45161290322580644
4,1790,7,albany-lutheran,lutheran,0.03700516351118761,0.685,-0.21404623257455435,0.004093631518216128,0.8873513803990057,2,4,0.29844961240310075,0.20155038759689922,0.17829457364341086,44,39,84,0.6666666666666666,0.4642857142857143
5,1791,8,albany-lutheran,lutheran,0.03179824561403509,0.684,-0.2062438659625182,0.017258244829513807,0.9015305855926447,2,4,0.296551724137931,0.21379310344827587,0.1724137931034483,51,44,96,0.6666666666666666,0.4583333333333333
6,1792,9,albany-lutheran,lutheran,0.026967285587975242,0.678,-0.2173068432671081,0.0037130886374464834,0.921344971235866,5,4,0.3005464480874317,0.20765027322404372,0.17486338797814208,60,56,117,0.4444444444444444,0.47863247863247865
7,1793,10,albany-lutheran,lutheran,0.024239703736954325,0.712,-0.21664372683959773,-0.02526097786236013,0.90272,5,4,0.30092592592592593,0.20833333333333334,0.17592592592592593,69,64,134,0.4444444444444444,0.47761194029850745
8,1794,11,albany-lutheran,lutheran,0.022531819745442036,0.708,-0.21595249419869977,-0.07265505652306754,0.9036957129729514,7,7,0.3015267175572519,0.20229007633587787,0.183206106870229,78,74,153,0.5,0.48366013071895425
9,1795,12,albany-lutheran,lutheran,0.02023342059336824,0.705,-0.20997755987041014,-0.03391822491731932,0.8817572278284841,13,12,0.3005390835579515,0.21024258760107817,0.18059299191374664,98,93,192,0.48,0.484375
10,1796,13,albany-lutheran,lutheran,0.01936357481381178,0.724,-0.2051147689764521,-0.1099825751887689,0.8981883337832587,14,14,0.29953379953379955,0.21212121212121213,0.18181818181818182,108,102,211,0.5,0.4834123222748815
11,1797,14,albany-lutheran,lutheran,0.018025078369905956,0.729,-0.21167802243279346,-0.08574772387779656,0.9032724546087516,14,14,0.30124223602484473,0.21325051759834368,0.17805383022774326,120,111,232,0.5,0.47844827586206895
12,1798,15,albany-lutheran,lutheran,0.017316017316017316,0.786,-0.2230148589429792,-0.03300011218933437,0.8975129831526969,13,14,0.30434782608695654,0.20833333333333334,0.17753623188405798,131,121,253,0.5185185185185185,0.4782608695652174
13,1799,16,albany-lutheran,lutheran,0.016420945602440264,0.804,-0.23404610957890087,-0.03241917475074544,0.902678118031484,19,16,0.30727554179566563,0.20588235294117646,0.17492260061919504,143,137,281,0.45714285714285713,0.4875444839857651
14,1800,17,albany-lutheran,lutheran,0.016420945602440264,0.793,-0.23404610957890087,-0.03241917475074544,0.902678118031484,19,16,0.30727554179566563,0.20588235294117646,0.17492260061919504,143,137,281,0.45714285714285713,0.4875444839857651
