,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1732,1,catskill-drc,dutch reformed,0.11956521739130435,0.905,-0.33455882352941146,0.046242774566473015,0.783132530120482,0,1,0.3333333333333333,0.15151515151515152,0.18181818181818182,12,12,24,1.0,0.5
1,1733,2,catskill-drc,dutch reformed,0.038923395445134575,0.76,-0.21620701395982314,-0.16087771529385822,0.7007513052336687,1,2,0.30319148936170215,0.22340425531914893,0.1702127659574468,37,33,70,0.6666666666666666,0.4714285714285714
2,1734,3,catskill-drc,dutch reformed,0.03008626130864717,0.833,-0.21678321678321677,-0.05851838899574628,0.7893387167175906,3,2,0.3041958041958042,0.1958041958041958,0.1958041958041958,49,49,98,0.4,0.5
3,1735,4,catskill-drc,dutch reformed,0.024766899766899768,0.846,-0.22445210539276053,0.11793868022910621,0.8535541188447916,9,2,0.3058823529411765,0.1803921568627451,0.20784313725490197,67,77,144,0.18181818181818182,0.5347222222222222
4,1736,5,catskill-drc,dutch reformed,0.024766899766899768,0.846,-0.22445210539276053,0.11793868022910621,0.8535541188447916,9,2,0.3058823529411765,0.1803921568627451,0.20784313725490197,67,77,144,0.18181818181818182,0.5347222222222222
5,1737,6,catskill-drc,dutch reformed,0.024766899766899768,0.832,-0.22445210539276053,0.11793868022910621,0.8535541188447916,9,2,0.3058823529411765,0.1803921568627451,0.20784313725490197,67,77,144,0.18181818181818182,0.5347222222222222
6,1738,7,catskill-drc,dutch reformed,0.024766899766899768,0.818,-0.22445210539276053,0.11793868022910621,0.8535541188447916,9,2,0.3058823529411765,0.1803921568627451,0.20784313725490197,67,77,144,0.18181818181818182,0.5347222222222222
7,1739,8,catskill-drc,dutch reformed,0.02445302445302445,0.828,-0.22696851786345953,0.10093296329215717,0.842405706828499,10,2,0.30639097744360905,0.17669172932330826,0.21052631578947367,68,80,148,0.16666666666666666,0.5405405405405406
8,1740,9,catskill-drc,dutch reformed,0.023614499825723247,0.833,-0.22644492911668507,0.10998771365485119,0.8447748717035752,10,2,0.3062730627306273,0.17712177121771217,0.21033210332103322,70,82,152,0.16666666666666666,0.5394736842105263
9,1741,10,catskill-drc,dutch reformed,0.023614499825723247,0.821,-0.22644492911668507,0.10998771365485119,0.8447748717035752,10,2,0.3062730627306273,0.17712177121771217,0.21033210332103322,70,82,152,0.16666666666666666,0.5394736842105263
10,1742,11,catskill-drc,dutch reformed,0.021921292832560228,0.806,-0.21514445479962735,0.05290648513844755,0.8569873820155794,11,2,0.3037542662116041,0.19112627986348124,0.20136518771331058,77,87,164,0.15384615384615385,0.5304878048780488
11,1743,12,catskill-drc,dutch reformed,0.021921292832560228,0.827,-0.21514445479962735,0.05290648513844755,0.8569873820155794,11,2,0.3037542662116041,0.19112627986348124,0.20136518771331058,77,87,164,0.15384615384615385,0.5304878048780488
12,1744,13,catskill-drc,dutch reformed,0.021921292832560228,0.811,-0.21514445479962735,0.05290648513844755,0.8569873820155794,11,2,0.3037542662116041,0.19112627986348124,0.20136518771331058,77,87,164,0.15384615384615385,0.5304878048780488
13,1745,14,catskill-drc,dutch reformed,0.021921292832560228,0.814,-0.21514445479962735,0.05290648513844755,0.8569873820155794,11,2,0.3037542662116041,0.19112627986348124,0.20136518771331058,77,87,164,0.15384615384615385,0.5304878048780488
14,1746,15,catskill-drc,dutch reformed,0.021921292832560228,0.832,-0.21514445479962735,0.05290648513844755,0.8569873820155794,11,2,0.3037542662116041,0.19112627986348124,0.20136518771331058,77,87,164,0.15384615384615385,0.5304878048780488
15,1747,16,catskill-drc,dutch reformed,0.021921292832560228,0.808,-0.21514445479962735,0.05290648513844755,0.8569873820155794,11,2,0.3037542662116041,0.19112627986348124,0.20136518771331058,77,87,164,0.15384615384615385,0.5304878048780488
16,1748,17,catskill-drc,dutch reformed,0.021921292832560228,0.817,-0.21514445479962735,0.05290648513844755,0.8569873820155794,11,2,0.3037542662116041,0.19112627986348124,0.20136518771331058,77,87,164,0.15384615384615385,0.5304878048780488
17,1749,18,catskill-drc,dutch reformed,0.021132713440405747,0.793,-0.21333333333333337,0.04581819158869071,0.8567362249995287,13,3,0.30333333333333334,0.19666666666666666,0.19666666666666666,80,89,169,0.1875,0.5266272189349113
18,1750,19,catskill-drc,dutch reformed,0.019932711229607058,0.788,-0.21657284852173028,0.04366962254515073,0.8417220857033206,14,4,0.304140127388535,0.19745222929936307,0.1942675159235669,84,94,178,0.2222222222222222,0.5280898876404494
19,1751,20,catskill-drc,dutch reformed,0.019032833074578804,0.755,-0.21454585284372535,0.032470910811511135,0.8391575856578649,14,8,0.30362537764350456,0.19939577039274925,0.1933534743202417,89,98,187,0.36363636363636365,0.5240641711229946
20,1752,21,catskill-drc,dutch reformed,0.018602060707323866,0.79,-0.2155797588633407,0.03982360796956739,0.840941100179344,14,8,0.30389221556886226,0.19760479041916168,0.19461077844311378,90,100,190,0.36363636363636365,0.5263157894736842
21,1753,22,catskill-drc,dutch reformed,0.018743667679837893,0.736,-0.18386645612452046,-0.029885089126497972,0.8019046446868413,13,11,0.2957957957957958,0.1921921921921922,0.21621621621621623,87,102,189,0.4583333333333333,0.5396825396825397
22,1754,23,catskill-drc,dutch reformed,0.0176050753370341,0.736,-0.21000063272260566,-0.027681731880374327,0.8180070036232616,11,9,0.30180180180180183,0.17417417417417416,0.2222222222222222,89,106,195,0.45,0.5435897435897435
23,1755,24,catskill-drc,dutch reformed,0.017657943431139307,0.687,-0.2048997173240007,0.018796022249921798,0.7735639046009695,14,12,0.3008982035928144,0.18263473053892215,0.2155688622754491,91,104,195,0.46153846153846156,0.5333333333333333
24,1756,25,catskill-drc,dutch reformed,0.02404692082111437,0.697,-0.19862082362082348,0.04438999899588328,0.7172800656724586,6,9,0.29965156794425085,0.20209059233449478,0.1986062717770035,77,78,155,0.6,0.5032258064516129
25,1757,26,catskill-drc,dutch reformed,0.022910216718266253,0.65,-0.19519519519519496,-0.02530077531970064,0.7434852677349713,8,10,0.2987987987987988,0.2012012012012012,0.2012012012012012,85,86,171,0.5555555555555556,0.5029239766081871
26,1758,27,catskill-drc,dutch reformed,0.022367891438100168,0.668,-0.1929991539763113,0.003371217769911142,0.7695087989571608,8,9,0.2982005141388175,0.1953727506426735,0.20822622107969152,91,96,187,0.5294117647058824,0.5133689839572193
27,1759,28,catskill-drc,dutch reformed,0.02141979595107099,0.613,-0.19719361098671453,-0.008946862937712102,0.776788199276371,9,10,0.29925187032418954,0.19451371571072318,0.20698254364089774,95,99,194,0.5263157894736842,0.5103092783505154
28,1760,29,catskill-drc,dutch reformed,0.02131871478605147,0.623,-0.20010885341073995,0.003856422789811896,0.778962786362397,9,10,0.3,0.19523809523809524,0.20476190476190476,98,101,199,0.5263157894736842,0.507537688442211
29,1761,30,catskill-drc,dutch reformed,0.02100706311232627,0.641,-0.2019389603972044,0.05412977190459797,0.7846410640659897,8,11,0.3004338394793926,0.19305856832971802,0.20607375271149675,105,105,210,0.5789473684210527,0.5
30,1762,31,catskill-drc,dutch reformed,0.018084370677731675,0.634,-0.19737847850813184,0.01677849259063734,0.769525966275974,11,16,0.29923518164435947,0.19120458891013384,0.21032504780114722,119,122,241,0.5925925925925926,0.5062240663900415
31,1763,32,catskill-drc,dutch reformed,0.016562968083880632,0.61,-0.19479252804104935,0.05591950090852614,0.7793757562396608,10,13,0.2982608695652174,0.1826086956521739,0.22086956521739132,124,140,264,0.5652173913043478,0.5303030303030303
32,1764,33,catskill-drc,dutch reformed,0.0162826420890937,0.649,-0.20269694959555634,0.07821632819426771,0.7857021532801861,8,10,0.300314465408805,0.18238993710691823,0.2169811320754717,130,150,280,0.5555555555555556,0.5357142857142857
33,1765,34,catskill-drc,dutch reformed,0.015226636241053833,0.65,-0.20351356626976397,0.030265314001256448,0.7923430125523877,9,10,0.30040871934604907,0.17983651226158037,0.21934604904632152,143,168,311,0.5263157894736842,0.5401929260450161
34,1766,35,catskill-drc,dutch reformed,0.014797507788161994,0.69,-0.20438519381578799,0.034562334479917516,0.7861313010410101,11,11,0.3006578947368421,0.18026315789473685,0.21842105263157896,147,174,321,0.5,0.5420560747663551
35,1767,36,catskill-drc,dutch reformed,0.013839323113009968,0.668,-0.20762361064628068,0.04802205456328581,0.7829499875550334,18,12,0.30145278450363194,0.1791767554479419,0.2179176755447942,157,189,346,0.4,0.546242774566474
36,1768,37,catskill-drc,dutch reformed,0.012670015237880241,0.657,-0.2063373820369659,0.062399191763927504,0.7876478982839261,18,13,0.3012249443207127,0.18151447661469933,0.21603563474387527,173,204,377,0.41935483870967744,0.5411140583554377
37,1769,38,catskill-drc,dutch reformed,0.012642541691384878,0.671,-0.19833246255660045,0.08951283586797719,0.7871107770524199,17,10,0.29927007299270075,0.1845672575599583,0.21689259645464026,180,210,390,0.37037037037037035,0.5384615384615384
38,1770,39,catskill-drc,dutch reformed,0.011476137624861266,0.653,-0.2022411638324465,0.08874652067377156,0.7929481224582483,19,13,0.3002901353965184,0.18471953578336556,0.21470019342359767,196,229,425,0.40625,0.5388235294117647
39,1771,40,catskill-drc,dutch reformed,0.01069716330678492,0.66,-0.21018007115494833,0.13071337651235868,0.8008618705520285,21,16,0.30227272727272725,0.18272727272727274,0.21272727272727274,208,246,454,0.43243243243243246,0.5418502202643172
40,1772,41,catskill-drc,dutch reformed,0.010243255196815569,0.648,-0.20885017032445402,0.09429482353324103,0.8073862553950718,23,17,0.3013816925734024,0.18134715025906736,0.21329879101899826,215,260,476,0.425,0.5462184873949579
41,1773,42,catskill-drc,dutch reformed,0.009742342756211733,0.703,-0.21280880055597456,0.09591513040778119,0.813728999497133,26,17,0.3024390243902439,0.18130081300813009,0.21138211382113822,227,275,503,0.3953488372093023,0.5467196819085487
42,1774,43,catskill-drc,dutch reformed,0.009455367836870726,0.691,-0.22031454176436252,0.09485216806455223,0.8251488362479373,28,15,0.3044846577498033,0.1841070023603462,0.2045633359559402,235,283,519,0.3488372093023256,0.5452793834296724
43,1775,44,catskill-drc,dutch reformed,0.009193937129586896,0.751,-0.21831303191809565,0.07872645773664423,0.8262661002723799,23,11,0.3039840637450199,0.1848605577689243,0.2047808764940239,237,285,523,0.3235294117647059,0.5449330783938815
44,1776,45,catskill-drc,dutch reformed,0.008917090035204587,0.701,-0.21755665812365743,0.07588759924858468,0.831794054011065,27,11,0.3037825059101655,0.18439716312056736,0.20567375886524822,240,293,534,0.2894736842105263,0.548689138576779
45,1777,46,catskill-drc,dutch reformed,0.009005564759356018,0.691,-0.2165331520092603,0.09514253047677391,0.8214742289115823,23,12,0.30345911949685533,0.18238993710691823,0.20833333333333334,239,292,532,0.34285714285714286,0.5488721804511278
46,1778,47,catskill-drc,dutch reformed,0.008855752738982814,0.679,-0.2155818613047367,0.11240583869242009,0.8206237324964198,23,13,0.3031620553359684,0.18102766798418973,0.21027667984189724,240,294,535,0.3611111111111111,0.5495327102803739
47,1779,48,catskill-drc,dutch reformed,0.008885479146324453,0.703,-0.2193779790994778,0.11296688840630821,0.8139036022769731,26,14,0.30416012558869704,0.1813186813186813,0.20800627943485087,243,292,536,0.35,0.5447761194029851
48,1780,49,catskill-drc,dutch reformed,0.008944954128440367,0.697,-0.21854026297689502,0.10315655378423642,0.8124042814311375,28,14,0.30392156862745096,0.18024132730015083,0.2096530920060332,247,297,545,0.3333333333333333,0.544954128440367
