,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1760,1,caughnawaga-drc,dutch reformed,0.16993464052287582,0.845,-0.23076923076923073,-0.1818181818181857,0.8007662835249043,0,0,0.3076923076923077,0.19230769230769232,0.19230769230769232,9,9,18,0.0,0.5
1,1761,2,caughnawaga-drc,dutch reformed,0.050816696914700546,0.779,-0.23809523809523814,0.23636363636363653,0.7922677437968839,2,0,0.30952380952380953,0.19047619047619047,0.19047619047619047,28,30,58,0.0,0.5172413793103449
2,1762,3,caughnawaga-drc,dutch reformed,0.0298989898989899,0.801,-0.24347031963470295,0.1332506545404433,0.8639948947032544,5,2,0.3108108108108108,0.19594594594594594,0.18243243243243243,48,52,100,0.2857142857142857,0.52
3,1763,4,caughnawaga-drc,dutch reformed,0.021658624172371226,0.721,-0.2332930594710698,0.15267595501814335,0.8694238943389568,6,3,0.3082901554404145,0.19689119170984457,0.18652849740932642,64,70,134,0.3333333333333333,0.5223880597014925
4,1764,5,caughnawaga-drc,dutch reformed,0.020333170014698677,0.742,-0.22923287892232025,0.037941127311315145,0.8330657539563523,9,4,0.3072289156626506,0.20080321285140562,0.18473895582329317,74,83,157,0.3076923076923077,0.5286624203821656
5,1765,6,caughnawaga-drc,dutch reformed,0.018375067555395426,0.776,-0.23541286167451692,0.06253987654088233,0.819241104521868,13,5,0.3088235294117647,0.19607843137254902,0.18627450980392157,85,98,183,0.2777777777777778,0.5355191256830601
6,1766,7,caughnawaga-drc,dutch reformed,0.018375067555395426,0.782,-0.23541286167451692,0.06253987654088233,0.819241104521868,13,5,0.3088235294117647,0.19607843137254902,0.18627450980392157,85,98,183,0.2777777777777778,0.5355191256830601
7,1767,8,caughnawaga-drc,dutch reformed,0.018375067555395426,0.779,-0.23541286167451692,0.06253987654088233,0.819241104521868,13,5,0.3088235294117647,0.19607843137254902,0.18627450980392157,85,98,183,0.2777777777777778,0.5355191256830601
8,1768,9,caughnawaga-drc,dutch reformed,0.018375067555395426,0.768,-0.23541286167451692,0.06253987654088233,0.819241104521868,13,5,0.3088235294117647,0.19607843137254902,0.18627450980392157,85,98,183,0.2777777777777778,0.5355191256830601
9,1769,10,caughnawaga-drc,dutch reformed,0.01778237525245062,0.745,-0.2299263351749539,0.09386597430888885,0.7993263032133345,13,5,0.3074792243767313,0.19390581717451524,0.19113573407202217,94,108,202,0.2777777777777778,0.5346534653465347
10,1770,11,caughnawaga-drc,dutch reformed,0.01644611677165687,0.753,-0.22385258037225034,0.10012872812574992,0.8032302190051437,15,6,0.3059125964010283,0.20051413881748073,0.18766066838046272,103,115,218,0.2857142857142857,0.5275229357798165
11,1771,12,caughnawaga-drc,dutch reformed,0.01644611677165687,0.754,-0.22385258037225034,0.10012872812574992,0.8032302190051437,15,6,0.3059125964010283,0.20051413881748073,0.18766066838046272,103,115,218,0.2857142857142857,0.5275229357798165
12,1772,13,caughnawaga-drc,dutch reformed,0.011206896551724138,0.735,-0.231010026901443,0.06711278307247447,0.8457178851666615,22,11,0.3076923076923077,0.1993006993006993,0.1853146853146853,151,169,320,0.3333333333333333,0.528125
13,1773,14,caughnawaga-drc,dutch reformed,0.00916013183316286,0.702,-0.2385355991913371,0.02296776074007326,0.8604012453865031,28,12,0.30955334987593053,0.19851116625310175,0.18238213399503722,197,223,420,0.3,0.530952380952381
14,1774,15,caughnawaga-drc,dutch reformed,0.008173402573944458,0.708,-0.23318286320967307,0.0014629413334333486,0.8474388708681927,40,18,0.3080110497237569,0.20718232044198895,0.17679558011049723,245,271,516,0.3103448275862069,0.5251937984496124
15,1775,16,caughnawaga-drc,dutch reformed,0.007455360035084047,0.721,-0.2362911301907833,0.014878670091696803,0.8587875872299727,34,16,0.3084893048128342,0.21323529411764705,0.1697860962566845,301,333,634,0.32,0.5252365930599369
16,1776,17,caughnawaga-drc,dutch reformed,0.007489208898508307,0.735,-0.23788220256315404,0.0459270633023071,0.8643275398985117,33,13,0.30870279146141216,0.21620142309797483,0.16639299397920088,335,364,699,0.2826086956521739,0.5207439198855508
17,1777,18,caughnawaga-drc,dutch reformed,0.007489208898508307,0.751,-0.23788220256315404,0.0459270633023071,0.8643275398985117,33,13,0.30870279146141216,0.21620142309797483,0.16639299397920088,335,364,699,0.2826086956521739,0.5207439198855508
