,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1737,1,deerpark-drc,dutch reformed,0.05191256830601093,0.545,-0.18222222222222234,0.08993240521061856,0.627718633662073,6,0,0.29473684210526313,0.23157894736842105,0.17894736842105263,29,32,61,0.0,0.5245901639344263
1,1738,2,deerpark-drc,dutch reformed,0.020880527922781444,0.455,-0.1616438356164385,0.15902528537118504,0.6273012021343766,12,8,0.29009433962264153,0.22641509433962265,0.19339622641509435,71,72,143,0.4,0.5034965034965035
2,1739,3,deerpark-drc,dutch reformed,0.016002681077458003,0.446,-0.16850819256119565,0.07842590312182365,0.6002138955731254,14,18,0.2918848167539267,0.22251308900523561,0.193717277486911,114,105,219,0.5625,0.4794520547945205
3,1740,4,deerpark-drc,dutch reformed,0.016259618601538975,0.489,-0.16120176910172335,0.03897255004296787,0.5710826997408995,7,8,0.29012345679012347,0.2222222222222222,0.19753086419753085,127,118,245,0.5333333333333333,0.4816326530612245
4,1741,5,deerpark-drc,dutch reformed,0.015294453973699256,0.478,-0.16727272727272768,0.015677105293418325,0.5783761218952203,8,11,0.29158878504672897,0.22242990654205608,0.19439252336448598,137,128,265,0.5789473684210527,0.4830188679245283
5,1742,6,deerpark-drc,dutch reformed,0.015286023414525883,0.499,-0.16590695604884578,0.018915949070810262,0.5678208579287894,9,12,0.2912885662431942,0.22141560798548093,0.19600725952813067,138,131,269,0.5714285714285714,0.48698884758364314
6,1743,7,deerpark-drc,dutch reformed,0.015614617940199336,0.484,-0.16351618980147153,0.005799217039346925,0.5533890624788649,12,8,0.2907801418439716,0.21843971631205675,0.2,153,148,301,0.4,0.49169435215946844
7,1744,8,deerpark-drc,dutch reformed,0.015788605820760162,0.487,-0.16487997817785063,0.034382303754943104,0.5471522520813052,11,7,0.29112271540469975,0.21801566579634465,0.19973890339425587,156,156,312,0.3888888888888889,0.5
8,1745,9,deerpark-drc,dutch reformed,0.015765483957458217,0.45,-0.15916078880194445,0.01147314600423242,0.5546909992621457,10,7,0.2896825396825397,0.2199546485260771,0.20068027210884354,167,168,335,0.4117647058823529,0.5014925373134328
9,1746,10,deerpark-drc,dutch reformed,0.01592484115171012,0.442,-0.1519868583361371,0.01929820407069289,0.5545688141359042,10,9,0.2879396984924623,0.21909547738693466,0.2050251256281407,175,179,354,0.47368421052631576,0.5056497175141242
10,1747,11,deerpark-drc,dutch reformed,0.0177396039465005,0.492,-0.1601303486293674,0.003916912097734454,0.5382811520220443,9,6,0.2899525316455696,0.21835443037974683,0.20174050632911392,184,194,378,0.4,0.5132275132275133
11,1748,12,deerpark-drc,dutch reformed,0.017520268934150682,0.519,-0.1590553856608904,0.006274590969771574,0.5361750230830963,9,6,0.28969149736644095,0.218209179834462,0.20240782543265612,191,199,390,0.4,0.5102564102564102
12,1749,13,deerpark-drc,dutch reformed,0.01747278970956289,0.539,-0.16226814523290292,0.03892399337338258,0.5374694957083833,9,5,0.290473017988008,0.21852098600932712,0.2005329780146569,204,211,415,0.35714285714285715,0.5084337349397591
13,1750,14,deerpark-drc,dutch reformed,0.016325962456251987,0.503,-0.1599487100335996,0.04895625241649626,0.5552341863390536,7,9,0.28989037758830694,0.2192448233861145,0.20097442143727162,223,226,449,0.5625,0.5033407572383074
14,1751,15,deerpark-drc,dutch reformed,0.016325962456251987,0.542,-0.1599487100335996,0.04895625241649626,0.5552341863390536,7,9,0.28989037758830694,0.2192448233861145,0.20097442143727162,223,226,449,0.5625,0.5033407572383074
15,1752,16,deerpark-drc,dutch reformed,0.01562876334733856,0.541,-0.1579205339451453,0.043854200791365344,0.5521570940073144,9,8,0.2893835616438356,0.2197488584474886,0.2014840182648402,232,242,474,0.47058823529411764,0.510548523206751
16,1753,17,deerpark-drc,dutch reformed,0.015479876160990712,0.553,-0.15986971974996667,0.0586147619126258,0.554958254509085,8,7,0.289920424403183,0.21644562334217507,0.20371352785145888,239,255,494,0.4666666666666667,0.5161943319838057
17,1754,18,deerpark-drc,dutch reformed,0.015057611416945043,0.566,-0.16355939364547512,0.049901676230235774,0.5637462338691517,6,5,0.2908481073310973,0.21514135122184955,0.20316243411595591,256,271,527,0.45454545454545453,0.5142314990512334
18,1755,19,deerpark-drc,dutch reformed,0.01480781565752357,0.584,-0.16454910741406112,0.05344275463743292,0.5641739520850938,7,5,0.2911038658593386,0.21425244527247322,0.20353982300884957,262,277,539,0.4166666666666667,0.5139146567717996
19,1756,20,deerpark-drc,dutch reformed,0.014569314028131176,0.628,-0.16425620626489743,0.050368544549529354,0.5734571689194793,8,6,0.29100177304964536,0.21631205673758866,0.20168439716312056,273,284,557,0.42857142857142855,0.5098743267504489
20,1757,21,deerpark-drc,dutch reformed,0.014379205456724123,0.608,-0.16432030535332803,0.05310228444010153,0.5801492790231969,6,6,0.29102564102564105,0.21581196581196582,0.20213675213675214,280,291,571,0.5,0.5096322241681261
21,1758,22,deerpark-drc,dutch reformed,0.014593735251012246,0.603,-0.1678025232242101,0.055348337020618456,0.5781551294490062,4,4,0.2919148936170213,0.21361702127659574,0.2025531914893617,279,289,568,0.5,0.5088028169014085
22,1759,23,deerpark-drc,dutch reformed,0.013875522642873842,0.611,-0.17639749626209814,0.07282478543274327,0.5906425839791313,6,4,0.2940830721003135,0.20963949843260188,0.20219435736677116,297,310,607,0.4,0.5107084019769358
23,1760,24,deerpark-drc,dutch reformed,0.014111156301391665,0.615,-0.17715565368832806,0.0828997092866861,0.5928497611909942,6,5,0.29427736006683375,0.20885547201336674,0.20258980785296574,281,302,583,0.45454545454545453,0.5180102915951973
24,1761,25,deerpark-drc,dutch reformed,0.01402275482835903,0.594,-0.17908336994727608,0.07793116453498822,0.5986960104550234,5,6,0.29475982532751094,0.20829694323144105,0.2021834061135371,275,297,572,0.5454545454545454,0.5192307692307693
