,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1761,1,detroit-catholic,catholic,0.11,0.866,-0.2774193548387096,-0.10502283105022678,0.8381030253475062,0,0,0.3181818181818182,0.15151515151515152,0.21212121212121213,12,13,25,0.0,0.52
1,1762,2,detroit-catholic,catholic,0.04303599374021909,0.757,-0.25464914455740106,-0.1469054939179254,0.5486448547673038,6,5,0.31363636363636366,0.19090909090909092,0.18181818181818182,36,36,72,0.45454545454545453,0.5
2,1763,3,detroit-catholic,catholic,0.02422929183492564,0.768,-0.293217172802566,0.09317508634914852,0.6987889571256386,9,9,0.3231707317073171,0.18699186991869918,0.16666666666666666,74,69,143,0.5,0.4825174825174825
3,1764,4,detroit-catholic,catholic,0.024009694766340982,0.737,-0.2870790542154285,0.0655467157135324,0.6279299485189016,8,11,0.3217665615141956,0.17981072555205047,0.17665615141955837,85,78,163,0.5789473684210527,0.4785276073619632
4,1765,5,detroit-catholic,catholic,0.021548635987875448,0.735,-0.27884766340467854,0.024110803201731264,0.6348436464421282,11,14,0.319693094629156,0.18414322250639387,0.17647058823529413,102,89,191,0.56,0.46596858638743455
5,1766,6,detroit-catholic,catholic,0.020430341230167355,0.666,-0.27234618536073046,0.061545456801673566,0.6344688131902317,7,9,0.3180851063829787,0.1829787234042553,0.18085106382978725,112,103,215,0.5625,0.4790697674418605
6,1767,7,detroit-catholic,catholic,0.019421713038734315,0.68,-0.26970299529716246,0.1194274913382528,0.6213683824692896,9,9,0.31741573033707865,0.1853932584269663,0.1797752808988764,122,113,235,0.5,0.4808510638297872
7,1768,8,detroit-catholic,catholic,0.01914689926603553,0.667,-0.27040958054260933,0.1260986263880847,0.6200891539752862,10,9,0.3175925925925926,0.18518518518518517,0.17962962962962964,123,115,238,0.47368421052631576,0.4831932773109244
8,1769,9,detroit-catholic,catholic,0.017161384090782043,0.725,-0.263897288980848,0.09050566381922968,0.6112565582489532,11,11,0.31596091205211724,0.18729641693811075,0.18078175895765472,139,129,268,0.5,0.48134328358208955
9,1770,10,detroit-catholic,catholic,0.015328607012837708,0.676,-0.2639498432601881,0.06117687141864293,0.6015473592817044,10,13,0.3159722222222222,0.1875,0.18055555555555555,157,150,307,0.5652173913043478,0.48859934853420195
10,1771,11,detroit-catholic,catholic,0.014209325181989306,0.678,-0.2614319798572858,0.03731009806310279,0.5893463605517228,13,14,0.31535756154747946,0.18522860492379836,0.18405627198124266,174,173,347,0.5185185185185185,0.49855907780979825
11,1772,12,detroit-catholic,catholic,0.013343227384535049,0.664,-0.2585017346582707,0.02311428688949496,0.5881611798901161,15,12,0.31462409886714726,0.184346035015448,0.18640576725025745,190,192,382,0.4444444444444444,0.5026178010471204
12,1773,13,detroit-catholic,catholic,0.01243655675439481,0.66,-0.25585687513746874,0.029977562837385188,0.5817559712018582,15,10,0.313963963963964,0.1864864864864865,0.18558558558558558,210,213,423,0.4,0.5035460992907801
13,1774,14,detroit-catholic,catholic,0.012078010186043401,0.656,-0.25634169545841484,0.03137063647978446,0.5841504425647853,13,9,0.31408227848101267,0.1843354430379747,0.1875,225,233,458,0.4090909090909091,0.5087336244541485
14,1775,15,detroit-catholic,catholic,0.011787688598861134,0.609,-0.2524707567438531,0.019060401778652352,0.5771416326613965,14,10,0.3131170662905501,0.18758815232722145,0.1861777150916784,238,253,491,0.4166666666666667,0.515274949083503
15,1776,16,detroit-catholic,catholic,0.011545872239513859,0.599,-0.2516175120162451,0.02313769279928888,0.570685101845409,13,8,0.31290115532734275,0.18870346598202825,0.18549422336328628,250,270,520,0.38095238095238093,0.5192307692307693
16,1777,17,detroit-catholic,catholic,0.01135524013221855,0.638,-0.24886495728277858,0.02364647897419374,0.5731629738911521,14,8,0.3122146118721461,0.18664383561643835,0.1889269406392694,267,289,556,0.36363636363636365,0.5197841726618705
17,1778,18,detroit-catholic,catholic,0.010898878286553398,0.613,-0.2500052489470613,0.016311485048950334,0.5872963918688556,15,10,0.3125,0.1864754098360656,0.1885245901639344,290,309,599,0.4,0.5158597662771286
18,1779,19,detroit-catholic,catholic,0.010692290717968265,0.651,-0.24859973788879683,0.02755720594195378,0.586864342107946,15,13,0.3121482176360225,0.18667917448405252,0.18902439024390244,304,328,632,0.4642857142857143,0.5189873417721519
19,1780,20,detroit-catholic,catholic,0.010676545775177373,0.584,-0.2462675148097141,0.028798789568610195,0.5814582636394046,14,9,0.31156636790439607,0.18779342723004694,0.1890738369611609,318,345,663,0.391304347826087,0.5203619909502263
20,1781,21,detroit-catholic,catholic,0.010342766892901353,0.634,-0.242262505482526,0.02946757327455639,0.5859648228831238,15,10,0.3105654147750722,0.18984729673957904,0.1890218737102765,332,353,685,0.4,0.5153284671532846
21,1782,22,detroit-catholic,catholic,0.009643120864570715,0.636,-0.24179713912990047,0.03340011554798566,0.5978492558440279,17,14,0.3104488872123727,0.1901169370049038,0.18898528857035082,357,385,742,0.45161290322580644,0.5188679245283019
22,1783,23,detroit-catholic,catholic,0.009302530342436064,0.633,-0.2435398886827459,0.06041035877606977,0.6014724608443772,16,17,0.31088460138332724,0.18856934838005096,0.1896614488532945,370,399,769,0.5151515151515151,0.5188556566970091
23,1784,24,detroit-catholic,catholic,0.009233747154845746,0.65,-0.24138640064007527,0.0646007164471628,0.6029838615588914,10,20,0.3103448275862069,0.18846022533287812,0.1908501194947081,384,413,797,0.6666666666666666,0.5181932245922208
