degree,count
0,0
1,1767
2,1178
3,8450
4,1109
5,1388
6,1786
7,638
8,644
9,622
10,473
11,379
12,383
13,353
14,272
15,256
16,207
17,181
18,193
19,137
20,147
21,124
22,111
23,105
24,99
25,100
26,84
27,98
28,75
29,64
30,64
31,70
32,46
33,40
34,60
35,41
36,30
37,40
38,37
39,38
40,37
41,29
42,28
43,22
44,23
45,31
46,20
47,20
48,16
49,24
50,14
51,11
52,13
53,21
54,10
55,14
56,8
57,7
58,9
59,9
60,8
61,9
62,12
63,9
64,13
65,6
66,5
67,11
68,6
69,7
70,3
71,5
72,10
73,4
74,7
75,6
76,4
77,2
78,3
79,3
80,4
81,4
82,6
83,3
84,4
85,2
86,2
87,3
88,0
89,4
90,4
91,3
92,0
93,5
94,1
95,0
96,1
97,3
98,0
99,3
100,0
101,0
102,0
103,0
104,0
105,2
106,1
107,3
108,0
109,1
110,0
111,3
112,0
113,2
114,0
115,0
116,3
117,1
118,0
119,1
120,0
121,1
122,0
123,1
124,2
125,0
126,1
127,0
128,0
129,1
130,0
131,1
132,0
133,0
134,0
135,0
136,2
137,0
138,0
139,0
140,2
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,2
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,2
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,1
173,0
174,1
