,year,year_count,congregation,denomination,density,clustering,preferential_edges,jacc_edges,gender_assort,male_bridges,female_bridges,male,female,nodes,bridge_pct,network_pct
0,1734,1,fthunter-anglican,anglican,0.2761904761904762,0.676,0.0,0.0,-0.039426523297491044,2,0,7,8,15,0.0,1.1428571428571428
1,1735,2,fthunter-anglican,anglican,0.060641627543035995,0.773,0.0,0.0,-0.014164897504611416,6,1,31,32,72,0.16666666666666666,1.032258064516129
2,1736,3,fthunter-anglican,anglican,0.04308390022675737,0.796,0.0,0.0,-0.021390478037428547,8,2,44,45,99,0.25,1.0227272727272727
3,1737,4,fthunter-anglican,anglican,0.0411570568821588,0.805,0.0,0.0,-0.02717421923416377,8,2,45,46,102,0.25,1.0222222222222221
4,1738,5,fthunter-anglican,anglican,0.027811777505779955,0.801,0.0,0.02,-0.0013740725010618308,13,8,77,72,172,0.6153846153846154,0.935064935064935
5,1739,6,fthunter-anglican,anglican,0.01730103806228374,0.816,0.0,0.04,-0.017624098095651197,12,10,125,124,290,0.8333333333333334,0.992
6,1740,7,fthunter-anglican,anglican,0.013171951358108875,0.813,0.02,0.12,-0.04514939232277388,16,12,174,179,420,0.75,1.028735632183908
7,1741,8,fthunter-anglican,anglican,0.011836102965135223,0.834,0.0,0.09,-0.046999099864921276,21,12,206,205,496,0.5714285714285714,0.9951456310679612
8,1742,9,fthunter-anglican,anglican,0.011015382979006288,0.811,0.0,0.06,-0.04416827985168213,20,12,225,226,549,0.6,1.0044444444444445
9,1743,10,fthunter-anglican,anglican,0.010381081009507163,0.838,0.01,0.08,-0.03920919489590808,22,12,248,252,615,0.5454545454545454,1.0161290322580645
10,1744,11,fthunter-anglican,anglican,0.009230195094644745,0.839,0.0,0.06,-0.0325154571494692,27,13,286,281,695,0.48148148148148145,0.9825174825174825
11,1745,12,fthunter-anglican,anglican,0.008476120396650197,0.851,0.01,0.08,-0.03663907092455324,33,17,316,297,756,0.5151515151515151,0.939873417721519
12,1746,13,fthunter-anglican,anglican,0.008476120396650197,0.835,0.0,0.0,-0.03663907092455324,33,17,316,297,756,0.5151515151515151,0.939873417721519
