,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1765,1,la-stmartinville-catholic,catholic,0.2,0.792,-0.3363636363636363,0.06369426751592294,0.6335078534031413,1,1,0.3333333333333333,0.14285714285714285,0.19047619047619047,7,8,15,0.5,0.5333333333333333
1,1766,2,la-stmartinville-catholic,catholic,0.15789473684210525,0.852,-0.33516483516483514,0.06435643564356482,0.5862068965517242,1,1,0.3333333333333333,0.14814814814814814,0.18518518518518517,9,10,19,0.5,0.5263157894736842
2,1767,3,la-stmartinville-catholic,catholic,0.15789473684210525,0.834,-0.33516483516483514,0.06435643564356482,0.5862068965517242,1,1,0.3333333333333333,0.14814814814814814,0.18518518518518517,9,10,19,0.5,0.5263157894736842
3,1768,4,la-stmartinville-catholic,catholic,0.15789473684210525,0.858,-0.33516483516483514,0.06435643564356482,0.5862068965517242,1,1,0.3333333333333333,0.14814814814814814,0.18518518518518517,9,10,19,0.5,0.5263157894736842
4,1769,5,la-stmartinville-catholic,catholic,0.15789473684210525,0.854,-0.33516483516483514,0.06435643564356482,0.5862068965517242,1,1,0.3333333333333333,0.14814814814814814,0.18518518518518517,9,10,19,0.5,0.5263157894736842
5,1770,6,la-stmartinville-catholic,catholic,0.09390243902439024,0.82,-0.20476190476190467,0.20528771384136782,0.7207466666666668,2,3,0.2987012987012987,0.24675324675324675,0.15584415584415584,22,19,41,0.6,0.4634146341463415
6,1771,7,la-stmartinville-catholic,catholic,0.04887078859681599,0.753,-0.20256011070748992,0.09730363423212199,0.6685383461793326,5,6,0.29924242424242425,0.23484848484848486,0.16666666666666666,39,35,74,0.5454545454545454,0.47297297297297297
7,1772,8,la-stmartinville-catholic,catholic,0.03686405337781484,0.763,-0.201680672268908,0.11841909164994059,0.7241246864234876,3,6,0.2986425339366516,0.2398190045248869,0.16289592760180996,60,50,110,0.6666666666666666,0.45454545454545453
8,1773,9,la-stmartinville-catholic,catholic,0.03164855928200284,0.692,-0.20727214049431222,0.10513832455236488,0.7309592550422901,7,8,0.3,0.23880597014925373,0.16119402985074627,82,64,146,0.5333333333333333,0.4383561643835616
9,1774,10,la-stmartinville-catholic,catholic,0.029573867455303132,0.659,-0.21332752793846269,0.03338077937884255,0.7170676742738651,6,5,0.30227272727272725,0.22727272727272727,0.16818181818181818,99,74,173,0.45454545454545453,0.4277456647398844
10,1775,11,la-stmartinville-catholic,catholic,0.029556650246305417,0.655,-0.21233731502941744,0.01795750832737457,0.712058709445437,6,6,0.3022222222222222,0.22444444444444445,0.1711111111111111,100,75,175,0.5,0.42857142857142855
11,1776,12,la-stmartinville-catholic,catholic,0.027231825716315414,0.652,-0.22903049037090417,-0.023261936894843207,0.703410011158661,4,8,0.30695652173913046,0.20869565217391303,0.17739130434782607,116,90,206,0.6666666666666666,0.4368932038834951
12,1777,13,la-stmartinville-catholic,catholic,0.02564102564102564,0.642,-0.24009355907120045,-0.01885131060148499,0.7029124796223752,7,8,0.3092209856915739,0.21621621621621623,0.16534181240063592,125,97,222,0.5333333333333333,0.4369369369369369
13,1778,14,la-stmartinville-catholic,catholic,0.02410754089365934,0.679,-0.2569088506189508,-0.026419517824364046,0.7077984511349285,11,6,0.31223328591749644,0.22759601706970128,0.14793741109530584,138,104,242,0.35294117647058826,0.4297520661157025
14,1779,15,la-stmartinville-catholic,catholic,0.02410754089365934,0.655,-0.2569088506189508,-0.026419517824364046,0.7077984511349285,11,6,0.31223328591749644,0.22759601706970128,0.14793741109530584,138,104,242,0.35294117647058826,0.4297520661157025
