degree,count
0,0
1,435
2,269
3,4425
4,526
5,691
6,703
7,349
8,293
9,344
10,226
11,210
12,198
13,161
14,131
15,100
16,130
17,112
18,96
19,86
20,93
21,62
22,61
23,59
24,62
25,54
26,35
27,45
28,40
29,43
30,40
31,32
32,26
33,23
34,28
35,27
36,27
37,22
38,24
39,19
40,16
41,22
42,16
43,7
44,9
45,8
46,16
47,13
48,16
49,11
50,16
51,8
52,8
53,8
54,6
55,6
56,4
57,5
58,9
59,9
60,4
61,3
62,6
63,4
64,3
65,6
66,6
67,3
68,1
69,6
70,6
71,4
72,4
73,0
74,1
75,5
76,3
77,1
78,1
79,3
80,4
81,2
82,3
83,0
84,2
85,3
86,1
87,1
88,2
89,2
90,2
91,0
92,1
93,0
94,0
95,1
96,1
97,1
98,2
99,0
100,1
101,1
102,0
103,2
104,2
105,0
106,1
107,0
108,0
109,0
110,0
111,0
112,1
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,1
