,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1639,1,ny-nyc-drc,dutch reformed,0.150997150997151,0.974,-0.08797653958944279,0.26035342093339353,0.28054298642533887,0,1,0.2641509433962264,0.32075471698113206,0.1509433962264151,16,11,27,1.0,0.4074074074074074
1,1640,2,ny-nyc-drc,dutch reformed,0.025072420337628607,0.913,-0.03757087882949647,0.2487960496332943,0.5691515448749388,8,5,0.21912350597609562,0.2350597609561753,0.1394422310756972,71,57,142,0.38461538461538464,0.4014084507042254
2,1641,3,ny-nyc-drc,dutch reformed,0.017234716747816677,0.842,-0.06448499887987046,0.17925740717589683,0.6340987668790232,19,15,0.2163677130044843,0.23766816143497757,0.12780269058295965,120,83,228,0.4411764705882353,0.36403508771929827
3,1642,4,ny-nyc-drc,dutch reformed,0.013753837183378779,0.835,-0.0345178294573643,0.1235067935488454,0.6350235703226641,25,20,0.21508728179551123,0.27680798004987534,0.128428927680798,181,130,342,0.4444444444444444,0.38011695906432746
4,1643,5,ny-nyc-drc,dutch reformed,0.011853784736161293,0.793,-0.048917561558430654,0.08732479701178955,0.6209657998549765,27,20,0.2187206020696143,0.2916274694261524,0.11571025399811853,231,154,424,0.425531914893617,0.3632075471698113
5,1644,6,ny-nyc-drc,dutch reformed,0.010391304677604084,0.776,-0.05149223463567901,0.06785741945009402,0.6376608863021718,27,20,0.2208029197080292,0.29854014598540146,0.11386861313868613,287,179,514,0.425531914893617,0.34824902723735407
6,1645,7,ny-nyc-drc,dutch reformed,0.009618311673106193,0.778,-0.05016242040028336,0.07663595281681675,0.6483117514302484,29,16,0.22032866707242849,0.2909312233718807,0.11746804625684723,318,211,585,0.35555555555555557,0.3606837606837607
7,1646,8,ny-nyc-drc,dutch reformed,0.008995930178196188,0.757,-0.061637587124896934,0.06171607919105652,0.631792406646904,31,15,0.22510940919037198,0.29157549234135666,0.11597374179431072,354,226,638,0.32608695652173914,0.3542319749216301
8,1647,9,ny-nyc-drc,dutch reformed,0.00797840875480627,0.77,-0.06131236940716655,0.0647671017819642,0.6326547034682543,36,17,0.22289156626506024,0.2873030583873957,0.11816496756255793,409,260,736,0.32075471698113206,0.3532608695652174
9,1648,10,ny-nyc-drc,dutch reformed,0.007029613272181643,0.778,-0.05481658640012847,0.06609610275922796,0.6311994333289623,39,17,0.2188884414015304,0.2919855014095852,0.11639146194120016,465,297,841,0.30357142857142855,0.35315101070154575
10,1649,11,ny-nyc-drc,dutch reformed,0.0065692283514065695,0.772,-0.051946995801394474,0.05016353928358547,0.6305104561406358,41,19,0.2180714022819286,0.2926021347073979,0.11520058888479941,498,323,910,0.31666666666666665,0.35494505494505496
11,1650,12,ny-nyc-drc,dutch reformed,0.0059541933082986566,0.77,-0.06263244849380335,0.0603472393207794,0.6281754350729467,43,23,0.2192513368983957,0.2887700534759358,0.11229946524064172,547,355,1003,0.3484848484848485,0.353938185443669
12,1651,13,ny-nyc-drc,dutch reformed,0.0051845418339162615,0.756,-0.06638175598220171,0.05337196511997105,0.6111724816042671,52,25,0.2185330516148506,0.2900694234832478,0.10866284334440085,610,404,1131,0.3246753246753247,0.3572060123784262
13,1652,14,ny-nyc-drc,dutch reformed,0.004737009849279296,0.75,-0.0625000622666042,0.0483055678786644,0.6021808887471706,56,30,0.21893651654910473,0.2908301682040152,0.11150298426478568,677,447,1248,0.3488372093023256,0.3581730769230769
14,1653,15,ny-nyc-drc,dutch reformed,0.0043143274807906215,0.74,-0.0638501063995435,0.03747562427137955,0.5775178548140024,61,34,0.22144069852049478,0.2849866601988843,0.11496483143342226,744,504,1383,0.35789473684210527,0.3644251626898048
15,1654,16,ny-nyc-drc,dutch reformed,0.0040881158453851246,0.719,-0.06461118648803553,0.027774708001885428,0.5740099598516257,69,34,0.22360670593565926,0.2850022655188038,0.1171273221567739,788,542,1470,0.3300970873786408,0.3687074829931973
16,1655,17,ny-nyc-drc,dutch reformed,0.0038046832455981123,0.753,-0.06241979614357937,0.03451168712954143,0.5724956641281347,71,38,0.22317642069550467,0.28053435114503816,0.12022900763358779,832,589,1575,0.3486238532110092,0.37396825396825395
17,1656,18,ny-nyc-drc,dutch reformed,0.0035300944693576622,0.727,-0.06504018635016336,0.03841793191423362,0.5587969651117664,78,43,0.22458952306489444,0.27736512900703675,0.12216575449569976,894,644,1703,0.35537190082644626,0.37815619495008806
18,1657,19,ny-nyc-drc,dutch reformed,0.003325522710886806,0.719,-0.06700601052931601,0.030664050924734856,0.5519958238773356,88,49,0.22610659439927733,0.2731707317073171,0.12520325203252033,951,697,1825,0.35766423357664234,0.3819178082191781
19,1658,20,ny-nyc-drc,dutch reformed,0.0031502049627026366,0.73,-0.06650808262710038,0.036677493831331565,0.5438806048131091,93,51,0.2260759493670886,0.2681856540084388,0.12759493670886077,1000,748,1940,0.3541666666666667,0.38556701030927837
20,1659,21,ny-nyc-drc,dutch reformed,0.0029070020453457503,0.722,-0.07022774213954487,0.03464416185853568,0.5475344692636522,100,56,0.22770248975732746,0.2648912700913962,0.12921525370312006,1065,816,2090,0.358974358974359,0.39043062200956935
21,1660,22,ny-nyc-drc,dutch reformed,0.0027542255812668453,0.723,-0.07109694720871541,0.03222780691597823,0.5489216751360869,105,64,0.22819141031356813,0.26125724476148016,0.13137167484024373,1121,864,2211,0.378698224852071,0.39077340569877883
22,1661,23,ny-nyc-drc,dutch reformed,0.002639711027478866,0.726,-0.07412540056214968,0.0366845154626656,0.5454136380145256,110,76,0.2286144146725892,0.2594927640063046,0.1315374695515117,1168,895,2300,0.40860215053763443,0.38913043478260867
23,1662,24,ny-nyc-drc,dutch reformed,0.0025064925454047924,0.739,-0.07530670196314951,0.0350725181650369,0.544387711685333,117,84,0.2294699258445482,0.25597363361713815,0.133754463059599,1217,948,2411,0.417910447761194,0.3931978432185815
24,1663,25,ny-nyc-drc,dutch reformed,0.0024271484419448454,0.729,-0.07867284942693749,0.028523694170135727,0.546312114779673,125,83,0.23080581600760974,0.24853920369615437,0.1376545726321511,1235,979,2463,0.39903846153846156,0.39748274462038163
25,1664,26,ny-nyc-drc,dutch reformed,0.0023377776458746048,0.672,-0.07805280591253702,0.02669993677934417,0.5382661088138098,120,79,0.2310235387463634,0.2438508331129331,0.14123247818037557,1266,1021,2544,0.3969849246231156,0.4013364779874214
26,1665,27,ny-nyc-drc,dutch reformed,0.0022626067409771927,0.715,-0.08024416091346499,0.02508892202713216,0.5321376226235511,121,83,0.231640625,0.2375,0.14309895833333333,1280,1055,2606,0.4068627450980392,0.40483499616270147
27,1666,28,ny-nyc-drc,dutch reformed,0.002209996112435137,0.684,-0.08198452589039476,0.020829009143724212,0.5272645899154302,128,84,0.2323135755258126,0.23454429572976418,0.14493307839388145,1310,1080,2665,0.39622641509433965,0.4052532833020638
28,1667,29,ny-nyc-drc,dutch reformed,0.002185839411353528,0.692,-0.08070549970572302,0.021647677585881375,0.5293150831493677,133,90,0.23169371825052656,0.23045471440961468,0.14818485937306405,1324,1108,2718,0.40358744394618834,0.40765268579838115
29,1668,30,ny-nyc-drc,dutch reformed,0.002180818817443317,0.654,-0.08049400158504409,0.017894128576730416,0.5246075904118873,126,92,0.23214726958240672,0.22720533728687917,0.15023474178403756,1320,1112,2725,0.42201834862385323,0.40807339449541286
30,1669,31,ny-nyc-drc,dutch reformed,0.0021361996001765453,0.675,-0.08519835246387805,0.021663110883233194,0.5229859020440738,129,94,0.2333495381623724,0.22010209042294604,0.15277102576567816,1333,1138,2776,0.42152466367713004,0.4099423631123919
31,1670,32,ny-nyc-drc,dutch reformed,0.0021199061559647064,0.656,-0.08634375465122772,0.02655408206975193,0.5208429575494561,125,96,0.2342114760014435,0.2167689161554192,0.15650186454950077,1341,1150,2801,0.4343891402714932,0.4105676544091396
32,1671,33,ny-nyc-drc,dutch reformed,0.0020839698574756245,0.679,-0.08413455304979751,0.023385203153332933,0.5163698022806169,114,99,0.2349870982875909,0.21452029087497068,0.16056767534600047,1368,1185,2861,0.4647887323943662,0.41419084236281023
33,1672,34,ny-nyc-drc,dutch reformed,0.002071805313147964,0.675,-0.08368525159783513,0.02678285727605852,0.5134522880785487,108,104,0.2354405464860484,0.21025819150167882,0.16452471923121453,1384,1199,2888,0.49056603773584906,0.4151662049861496
34,1673,35,ny-nyc-drc,dutch reformed,0.0020405769634979196,0.68,-0.08541134811789033,0.026912580292232802,0.5046644977780156,113,103,0.2353175506487594,0.2052128386068746,0.16685636239471888,1388,1237,2935,0.47685185185185186,0.4214650766609881
35,1674,36,ny-nyc-drc,dutch reformed,0.0020288405722135054,0.651,-0.08480362863883735,0.026169662760188415,0.514063126802859,112,108,0.2348441926345609,0.20339943342776204,0.16793201133144475,1382,1249,2950,0.4909090909090909,0.42338983050847456
36,1675,37,ny-nyc-drc,dutch reformed,0.0020292473100767252,0.664,-0.08795614054830957,0.0266164937724701,0.50907002971355,108,104,0.23514658343551442,0.20031211682086725,0.16843161297514211,1382,1270,2974,0.49056603773584906,0.4270342972427707
