,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1763,1,ny-schaghticoke-drc,dutch reformed,0.6666666666666666,0.0,0.0,,-1.0,0,0,0.25,0.25,0.25,2,2,4,0.0,0.5
1,1764,2,ny-schaghticoke-drc,dutch reformed,0.05204872646733112,0.469,-0.19202898550724634,-0.0522388059701473,0.5325966850828731,2,1,0.2978723404255319,0.2127659574468085,0.19148936170212766,22,21,43,0.3333333333333333,0.4883720930232558
2,1765,3,ny-schaghticoke-drc,dutch reformed,0.024844720496894408,0.378,-0.1355602850004624,-0.01669051025274305,0.4599692682668361,4,6,0.28365384615384615,0.20192307692307693,0.23076923076923078,45,47,92,0.6,0.5108695652173914
3,1766,4,ny-schaghticoke-drc,dutch reformed,0.017116471618501713,0.399,-0.154712404712405,0.04610970746704834,0.5404346277164233,8,11,0.28837209302325584,0.19534883720930232,0.22790697674418606,77,82,159,0.5789473684210527,0.5157232704402516
4,1767,5,ny-schaghticoke-drc,dutch reformed,0.012683380543694245,0.434,-0.18064279441029027,0.039427689956270655,0.6155543331741551,11,17,0.295,0.19333333333333333,0.21666666666666667,107,111,218,0.6071428571428571,0.5091743119266054
5,1768,6,ny-schaghticoke-drc,dutch reformed,0.011825980392156862,0.46,-0.1620233774018451,0.09838116670438683,0.6518766614663452,16,18,0.28886010362694303,0.20466321243523317,0.20984455958549222,125,130,256,0.5294117647058824,0.5078125
6,1769,7,ny-schaghticoke-drc,dutch reformed,0.0106224944547323,0.486,-0.16201924655959535,0.11647180889423407,0.6742538241880636,18,19,0.289272030651341,0.20306513409961685,0.21264367816091953,153,160,314,0.5135135135135135,0.5095541401273885
7,1770,8,ny-schaghticoke-drc,dutch reformed,0.009360580092287409,0.513,-0.16599331746413068,0.11295300168832711,0.675360723537459,22,21,0.2895148669796557,0.20344287949921752,0.2081377151799687,180,188,370,0.4883720930232558,0.5081081081081081
8,1771,9,ny-schaghticoke-drc,dutch reformed,0.008199911543564795,0.597,-0.17236699991691812,0.1594304894290385,0.6812246062528579,22,18,0.2912621359223301,0.19956850053937433,0.209277238403452,227,246,476,0.45,0.5168067226890757
9,1772,10,ny-schaghticoke-drc,dutch reformed,0.0080994455994456,0.581,-0.17304950218760667,0.155262085870611,0.6805540418580559,23,18,0.2914438502673797,0.19893048128342247,0.20962566844919786,229,249,481,0.43902439024390244,0.5176715176715176
10,1773,11,ny-schaghticoke-drc,dutch reformed,0.007532413186052049,0.599,-0.17502476834314354,0.17644219275699194,0.6720506845038843,23,21,0.2921455938697318,0.20019157088122605,0.2078544061302682,254,270,527,0.4772727272727273,0.5123339658444023
11,1774,12,ny-schaghticoke-drc,dutch reformed,0.0058055442348108905,0.567,-0.1750296559626234,0.21585072895566898,0.7204638505355946,28,32,0.29215416379903647,0.1988988300068823,0.20922229869236064,343,361,708,0.5333333333333333,0.5098870056497176
12,1775,13,ny-schaghticoke-drc,dutch reformed,0.004987639446312322,0.582,-0.17475158764092777,0.19383784559626566,0.7406724808423208,40,38,0.2924374319912949,0.20184983677910773,0.20729053318824808,422,433,859,0.48717948717948717,0.5040745052386496
13,1776,14,ny-schaghticoke-drc,dutch reformed,0.004575755320116782,0.59,-0.17538192208702053,0.14172585067312407,0.7514555722396055,48,37,0.2928151830094894,0.20424762765476728,0.20515137821961138,485,495,984,0.43529411764705883,0.5030487804878049
14,1777,15,ny-schaghticoke-drc,dutch reformed,0.004312414418579837,0.615,-0.17653740591788972,0.15030283151237386,0.7620968229141588,43,38,0.2931958762886598,0.20412371134020618,0.20494845360824743,525,532,1061,0.4691358024691358,0.5014137606032045
15,1778,16,ny-schaghticoke-drc,dutch reformed,0.004049428131409344,0.616,-0.1763431843638261,0.1679770002693602,0.7713929229462708,45,36,0.2932588320115357,0.20223503965392933,0.2072819033886085,573,594,1171,0.4444444444444444,0.5072587532023911
16,1779,17,ny-schaghticoke-drc,dutch reformed,0.003857325852021578,0.629,-0.18088593868203287,0.18985105992717746,0.7781649638416522,51,43,0.29451200498908636,0.20174618023074525,0.205799812909261,634,652,1290,0.4574468085106383,0.5054263565891473
17,1780,18,ny-schaghticoke-drc,dutch reformed,0.0037665586446074253,0.629,-0.1829133911111742,0.18674275372618124,0.784047741433998,50,42,0.2950653120464441,0.20058055152394774,0.20609579100145137,666,683,1353,0.45652173913043476,0.5048041389504804
18,1781,19,ny-schaghticoke-drc,dutch reformed,0.0036273882901638114,0.631,-0.18567788778167194,0.1719881247020443,0.7922492451940583,54,44,0.2958143278776496,0.2012342366514623,0.20418567212235042,709,721,1434,0.4489795918367347,0.50278940027894
19,1782,20,ny-schaghticoke-drc,dutch reformed,0.0034821668992191133,0.633,-0.18919882766577578,0.1660724619640611,0.79948840591631,49,49,0.29663570173236253,0.20185789605824755,0.20160682902334923,753,755,1513,0.5,0.4990085922009253
20,1783,21,ny-schaghticoke-drc,dutch reformed,0.0034131621102448037,0.658,-0.19195348979253202,0.1735471447238602,0.7989540425557947,51,54,0.2973466407010711,0.2005842259006816,0.20155793573515093,770,777,1552,0.5142857142857142,0.5006443298969072
21,1784,22,ny-schaghticoke-drc,dutch reformed,0.003383851478225344,0.663,-0.19455834311909473,0.1811668393455904,0.7997359473279925,50,55,0.2978871604364987,0.1992105874158347,0.20130020896215464,794,796,1596,0.5238095238095238,0.49874686716791977
22,1785,23,ny-schaghticoke-drc,dutch reformed,0.0033713139589467843,0.639,-0.1937840668740778,0.1677014758988423,0.8012537320010137,51,55,0.29769850402761794,0.19907940161104717,0.20184119677790563,799,801,1606,0.5188679245283019,0.4987546699875467
23,1786,24,ny-schaghticoke-drc,dutch reformed,0.003284994999985423,0.618,-0.19480056952104804,0.1475888122980011,0.8093504543949678,53,60,0.2979809185711116,0.19902374084757044,0.20146438872864433,827,824,1657,0.5309734513274337,0.49728424864212434
24,1787,25,ny-schaghticoke-drc,dutch reformed,0.003168520858457186,0.651,-0.19699029449099453,0.14647200178592348,0.8164147768758049,57,59,0.29854946958216066,0.19982680233816844,0.19961030526087897,857,845,1708,0.5086206896551724,0.49473067915690866
25,1788,26,ny-schaghticoke-drc,dutch reformed,0.0031112937059939554,0.695,-0.19646491772733074,0.15952653948135984,0.8153513292457315,60,62,0.29843153878762185,0.19902501059771088,0.20072064434082237,873,863,1742,0.5081967213114754,0.4954075774971297
26,1789,27,ny-schaghticoke-drc,dutch reformed,0.003126672935452898,0.679,-0.19925534580317028,0.15538065786868205,0.8156167907721397,62,62,0.2992592592592593,0.1980952380952381,0.20063492063492064,872,862,1739,0.5,0.49568717653824035
27,1790,28,ny-schaghticoke-drc,dutch reformed,0.0031475590686117004,0.675,-0.20043495340561399,0.14908328247536823,0.8161606170017459,59,62,0.2995533815397703,0.19821352615908125,0.1999149298170991,866,858,1729,0.512396694214876,0.49624060150375937
28,1791,29,ny-schaghticoke-drc,dutch reformed,0.003105583946277533,0.664,-0.20187388483120788,0.15853587763312774,0.8160153491358471,63,63,0.30004227436060027,0.19720989220038046,0.20059184104840413,877,865,1746,0.5,0.49541809851088203
29,1792,30,ny-schaghticoke-drc,dutch reformed,0.0031231629950325347,0.705,-0.20504454037304948,0.15729553574639,0.8225152880514613,66,62,0.3009128450336883,0.1969137144099109,0.19952184307759183,862,852,1717,0.484375,0.49621432731508447
30,1793,31,ny-schaghticoke-drc,dutch reformed,0.0030313156998466096,0.682,-0.20692574509378006,0.16008277858247452,0.8256592844970452,77,67,0.30126715945089755,0.19619852164730728,0.19894403379091868,882,882,1768,0.4652777777777778,0.498868778280543
31,1794,32,ny-schaghticoke-drc,dutch reformed,0.002987443577655026,0.684,-0.2093914545778081,0.14846673144913475,0.8333050393615395,82,69,0.3017639647207056,0.19592608147837043,0.19760604787904243,888,893,1786,0.45695364238410596,0.5
32,1795,33,ny-schaghticoke-drc,dutch reformed,0.003026062920931128,0.66,-0.212514339765905,0.14826222902362204,0.8326289409644727,84,67,0.3025448761645081,0.1956373551465576,0.19631901840490798,845,856,1706,0.44370860927152317,0.5017584994138335
33,1796,34,ny-schaghticoke-drc,dutch reformed,0.003006191569928014,0.667,-0.21591674893088733,0.1494471219936673,0.8337178328113654,79,65,0.30320197044334973,0.1938423645320197,0.1958128078817734,812,827,1644,0.4513888888888889,0.5030413625304136
34,1797,35,ny-schaghticoke-drc,dutch reformed,0.003022262127127408,0.675,-0.21787019581845332,0.1685136134830405,0.8375752584517879,77,66,0.3038461538461538,0.19177718832891247,0.19522546419098144,777,796,1580,0.46153846153846156,0.5037974683544304
35,1798,36,ny-schaghticoke-drc,dutch reformed,0.003073015980872217,0.672,-0.22036923879267925,0.16971901558877045,0.8367487763994139,78,62,0.3044499723604201,0.19154228855721392,0.19402985074626866,753,775,1535,0.44285714285714284,0.504885993485342
36,1799,37,ny-schaghticoke-drc,dutch reformed,0.0031630128741838535,0.669,-0.2260475178531097,0.17716574549153966,0.8374487616056676,78,62,0.30582232893157263,0.1923769507803121,0.18997599039615845,711,734,1452,0.44285714285714284,0.5055096418732782
37,1800,38,ny-schaghticoke-drc,dutch reformed,0.003201965112755919,0.627,-0.22795143409501042,0.18221798754369606,0.8414551607751294,79,60,0.30601554579249746,0.19094288611017235,0.18925312605610004,663,689,1360,0.4316546762589928,0.5066176470588235
38,1801,39,ny-schaghticoke-drc,dutch reformed,0.0033198527915256956,0.661,-0.23038721353758962,0.17569597239210855,0.8382529727457237,75,53,0.3063469166967184,0.19076812116840966,0.1871619184998197,629,656,1293,0.4140625,0.5073472544470224
39,1802,40,ny-schaghticoke-drc,dutch reformed,0.0034695729913806635,0.623,-0.23279748169990447,0.19018170208352225,0.8330861987558041,78,52,0.3068450039339103,0.1884343036978757,0.1876475216365067,585,618,1211,0.4,0.5103220478943022
40,1803,41,ny-schaghticoke-drc,dutch reformed,0.0037360855990446365,0.628,-0.23313447274197277,0.17325458556836515,0.8278076854061811,68,47,0.306803594351733,0.18528027385537013,0.18998716302952504,535,575,1119,0.40869565217391307,0.5138516532618409
41,1804,42,ny-schaghticoke-drc,dutch reformed,0.003820473332079608,0.682,-0.23150606640003152,0.16078139283888832,0.8311402603069634,65,46,0.30598669623059865,0.18536585365853658,0.1893569844789357,520,558,1087,0.4144144144144144,0.5133394664213431
42,1805,43,ny-schaghticoke-drc,dutch reformed,0.004012007158113491,0.687,-0.23423259552525078,0.16975170849647478,0.836510813905173,61,40,0.3067146282973621,0.1856115107913669,0.18752997601918464,488,524,1020,0.39603960396039606,0.5137254901960784
