,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1795,2,pa-aaronsberg-lutheran,lutheran,0.35714285714285715,0.813,-0.4141414141414141,-0.32075471698113317,-0.11111111111111124,1,1,0.35,0.1,0.2,4,4,8,0.5,0.5
1,1796,3,pa-aaronsberg-lutheran,lutheran,0.18421052631578946,0.851,-0.2993039443155454,-0.29792032072162367,0.6881959910913142,1,1,0.3,0.08571428571428572,0.22857142857142856,6,13,20,0.5,0.65
2,1797,4,pa-aaronsberg-lutheran,lutheran,0.18421052631578946,0.859,-0.2993039443155454,-0.29792032072162367,0.6881959910913142,1,1,0.3,0.08571428571428572,0.22857142857142856,6,13,20,0.5,0.65
3,1798,5,pa-aaronsberg-lutheran,lutheran,0.18421052631578946,0.853,-0.2993039443155454,-0.29792032072162367,0.6881959910913142,1,1,0.3,0.08571428571428572,0.22857142857142856,6,13,20,0.5,0.65
4,1799,6,pa-aaronsberg-lutheran,lutheran,0.18421052631578946,0.855,-0.2993039443155454,-0.29792032072162367,0.6881959910913142,1,1,0.3,0.08571428571428572,0.22857142857142856,6,13,20,0.5,0.65
5,1800,7,pa-aaronsberg-lutheran,lutheran,0.18421052631578946,0.853,-0.2993039443155454,-0.29792032072162367,0.6881959910913142,1,1,0.3,0.08571428571428572,0.22857142857142856,6,13,20,0.5,0.65
6,1801,8,pa-aaronsberg-lutheran,lutheran,0.18421052631578946,0.86,-0.2993039443155454,-0.29792032072162367,0.6881959910913142,1,1,0.3,0.08571428571428572,0.22857142857142856,6,13,20,0.5,0.65
7,1802,9,pa-aaronsberg-lutheran,lutheran,0.13227513227513227,0.853,-0.2662807525325615,-0.2548276406656044,0.7354497354497356,2,1,0.29,0.12,0.18,9,17,28,0.3333333333333333,0.6071428571428571
8,1803,10,pa-aaronsberg-lutheran,lutheran,0.10420168067226891,0.858,-0.27316141356256,-0.22444001407294456,0.7630298818624043,3,1,0.29838709677419356,0.14516129032258066,0.16129032258064516,12,21,35,0.25,0.6
9,1804,11,pa-aaronsberg-lutheran,lutheran,0.10420168067226891,0.851,-0.27316141356256,-0.22444001407294456,0.7630298818624043,3,1,0.29838709677419356,0.14516129032258066,0.16129032258064516,12,21,35,0.25,0.6
