,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1752,5,pa-canadochly-lutheran,lutheran,0.6666666666666666,0.0,-0.3333333333333333,-1.0,,1,0,0.25,0.5,0.0,2,1,3,0.0,0.3333333333333333
1,1753,6,pa-canadochly-lutheran,lutheran,0.6666666666666666,0.0,-0.3333333333333333,-1.0,,1,0,0.25,0.5,0.0,2,1,3,0.0,0.3333333333333333
2,1754,7,pa-canadochly-lutheran,lutheran,0.6666666666666666,0.0,-0.3333333333333333,-1.0,,1,0,0.25,0.5,0.0,2,1,3,0.0,0.3333333333333333
3,1755,8,pa-canadochly-lutheran,lutheran,0.06666666666666667,0.795,-0.15307582260371969,0.26333333333333037,0.9290425289970435,2,0,0.27884615384615385,0.17307692307692307,0.23076923076923078,19,20,40,0.0,0.5
4,1756,9,pa-canadochly-lutheran,lutheran,0.04568764568764569,0.625,-0.1500745897563401,0.12531238843270195,0.9396960187065412,3,3,0.2755102040816326,0.17346938775510204,0.22448979591836735,31,34,66,0.5,0.5151515151515151
5,1757,10,pa-canadochly-lutheran,lutheran,0.036565656565656565,0.744,-0.20648712989138518,-0.1856878955022473,0.9106614017769002,2,5,0.2955801104972376,0.1712707182320442,0.20994475138121546,49,50,100,0.7142857142857143,0.5
6,1758,11,pa-canadochly-lutheran,lutheran,0.029840388619014575,0.713,-0.20188625321520445,-0.14808958096729388,0.8789574283231972,4,10,0.28875968992248063,0.17054263565891473,0.19767441860465115,65,63,132,0.7142857142857143,0.4772727272727273
7,1759,12,pa-canadochly-lutheran,lutheran,0.025806451612903226,0.746,-0.20587865845999279,-0.12505148532717217,0.8997286101985431,7,12,0.28685897435897434,0.16666666666666666,0.19230769230769232,75,76,156,0.631578947368421,0.48717948717948717
8,1760,13,pa-canadochly-lutheran,lutheran,0.025880835281786665,0.716,-0.20324742409420476,-0.12417816772506214,0.9027654681101701,9,12,0.2866043613707165,0.16822429906542055,0.19314641744548286,75,78,158,0.5714285714285714,0.4936708860759494
9,1761,14,pa-canadochly-lutheran,lutheran,0.024844720496894408,0.713,-0.20416902318817146,-0.11574586123594105,0.903696690812215,10,12,0.28703703703703703,0.1697530864197531,0.19135802469135801,78,79,162,0.5454545454545454,0.4876543209876543
10,1762,15,pa-canadochly-lutheran,lutheran,0.023804609563123497,0.745,-0.20804139184012022,-0.10305600445889915,0.9032373164122395,10,12,0.28901734104046245,0.17052023121387283,0.1907514450867052,82,84,171,0.5454545454545454,0.49122807017543857
11,1763,16,pa-canadochly-lutheran,lutheran,0.022660222208273177,0.779,-0.21251026891843755,-0.10943015632879474,0.9078262707014499,10,12,0.29085872576177285,0.1745152354570637,0.18559556786703602,87,87,179,0.5454545454545454,0.4860335195530726
12,1764,17,pa-canadochly-lutheran,lutheran,0.022660222208273177,0.739,-0.21251026891843755,-0.10943015632879474,0.9078262707014499,10,12,0.29085872576177285,0.1745152354570637,0.18559556786703602,87,87,179,0.5454545454545454,0.4860335195530726
13,1765,18,pa-canadochly-lutheran,lutheran,0.021383301184899423,0.792,-0.1997270957605952,-0.09126624563698382,0.9035792549306061,11,11,0.2860824742268041,0.18556701030927836,0.17783505154639176,95,90,191,0.5,0.4712041884816754
14,1766,19,pa-canadochly-lutheran,lutheran,0.020298507462686566,0.744,-0.1896711245689293,-0.0694601597960499,0.908311484899043,11,12,0.28308823529411764,0.18627450980392157,0.17401960784313725,101,92,201,0.5217391304347826,0.4577114427860697
15,1767,20,pa-canadochly-lutheran,lutheran,0.01973114604693552,0.774,-0.18561536522560027,-0.0562538914187349,0.8878491725269929,9,10,0.279445727482679,0.18937644341801385,0.16859122401847576,106,94,210,0.5263157894736842,0.44761904761904764
16,1768,21,pa-canadochly-lutheran,lutheran,0.018785601745243,0.764,-0.18914172949796057,-0.04492571856204453,0.8889338899619914,14,12,0.278494623655914,0.1870967741935484,0.16559139784946236,110,101,223,0.46153846153846156,0.452914798206278
17,1769,22,pa-canadochly-lutheran,lutheran,0.018144174665913795,0.78,-0.18629307080651286,-0.05445612771413366,0.8883419239010828,16,14,0.27593360995850624,0.18464730290456433,0.16597510373443983,113,104,231,0.4666666666666667,0.45021645021645024
18,1770,23,pa-canadochly-lutheran,lutheran,0.017778579156148576,0.766,-0.18786656545400324,-0.05200149118082882,0.8908703532048533,17,16,0.2768762677484787,0.1845841784989858,0.1663286004056795,116,106,236,0.48484848484848486,0.4491525423728814
19,1771,24,pa-canadochly-lutheran,lutheran,0.017778579156148576,0.753,-0.18786656545400324,-0.05200149118082882,0.8908703532048533,17,16,0.2768762677484787,0.1845841784989858,0.1663286004056795,116,106,236,0.48484848484848486,0.4491525423728814
20,1772,25,pa-canadochly-lutheran,lutheran,0.017503486750348674,0.743,-0.1865281959535136,-0.060731811901472206,0.8884964794207147,17,16,0.27589641434262946,0.1852589641434263,0.16533864541832669,118,107,240,0.48484848484848486,0.44583333333333336
21,1773,26,pa-canadochly-lutheran,lutheran,0.017580253858865722,0.737,-0.18712192548245163,-0.04829468127560461,0.8880444955956704,17,16,0.276,0.184,0.166,117,107,239,0.48484848484848486,0.4476987447698745
22,1774,27,pa-canadochly-lutheran,lutheran,0.017580253858865722,0.739,-0.18712192548245163,-0.04829468127560461,0.8880444955956704,17,16,0.276,0.184,0.166,117,107,239,0.48484848484848486,0.4476987447698745
23,1775,28,pa-canadochly-lutheran,lutheran,0.017496542185338866,0.792,-0.18860580452258624,-0.05410945707345944,0.8892105044206321,17,16,0.2766798418972332,0.18379446640316205,0.16600790513833993,118,108,241,0.48484848484848486,0.44813278008298757
24,1776,29,pa-canadochly-lutheran,lutheran,0.01825752722613709,0.741,-0.1931931931931932,-0.0762073725187502,0.8848289926567199,16,16,0.27631578947368424,0.18640350877192982,0.15789473684210525,111,98,224,0.5,0.4375
25,1777,30,pa-canadochly-lutheran,lutheran,0.017130383306200977,0.798,-0.19628551084884951,-0.06095432799235129,0.8853570967597484,15,13,0.2775377969762419,0.1857451403887689,0.15766738660907129,115,103,233,0.4642857142857143,0.44206008583690987
26,1778,31,pa-canadochly-lutheran,lutheran,0.016811955168119553,0.756,-0.18811558457785785,0.020860039496249524,0.8931976849088815,22,14,0.2654320987654321,0.18765432098765433,0.14320987654320988,110,91,220,0.3888888888888889,0.41363636363636364
27,1779,32,pa-canadochly-lutheran,lutheran,0.0182426597582038,0.803,-0.1858820607161431,0.024891721534230193,0.915425151258864,17,10,0.2618343195266272,0.19230769230769232,0.13609467455621302,97,79,193,0.37037037037037035,0.40932642487046633
28,1780,33,pa-canadochly-lutheran,lutheran,0.019855841153270774,0.791,-0.181015521572797,0.07354754722323148,0.9035966377676679,15,7,0.2602739726027397,0.19863013698630136,0.13356164383561644,87,70,172,0.3181818181818182,0.4069767441860465
29,1781,34,pa-canadochly-lutheran,lutheran,0.019700661329620606,0.819,-0.18386454183266934,0.10410499132404107,0.9004971625869331,15,7,0.2597173144876325,0.1978798586572438,0.13074204946996468,86,69,170,0.3181818181818182,0.40588235294117647
