degree,count
0,0
1,768
2,249
3,125
4,75
5,65
6,53
7,37
8,24
9,29
10,12
11,12
12,4
13,6
14,6
15,4
16,5
17,7
18,2
19,4
20,1
21,3
22,1
23,1
24,1
25,3
26,2
27,2
28,0
29,1
30,1
31,2
32,1
33,1
34,1
35,1
36,1
37,2
38,1
39,1
40,1
41,1
42,1
43,2
44,2
45,1
46,0
47,0
48,0
49,1
50,1
51,1
52,2
53,1
54,0
55,1
56,1
57,0
58,3
59,0
60,2
61,0
62,1
63,1
64,0
65,1
66,0
67,2
68,0
69,1
70,0
71,1
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,1
84,0
85,0
86,1
87,0
88,1
89,0
90,0
91,1
92,1
93,0
94,3
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,1
112,0
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,1
