degree,count
0,0
1,1056
2,269
3,138
4,64
5,37
6,29
7,18
8,19
9,8
10,2
11,5
12,5
13,4
14,3
15,1
16,1
17,0
18,1
19,3
20,1
21,2
22,1
23,0
24,1
25,0
26,0
27,1
28,1
29,0
30,1
31,5
32,0
33,0
34,1
35,2
36,2
37,2
38,1
39,1
40,0
41,2
42,0
43,0
44,0
45,4
46,1
47,1
48,1
49,1
50,2
51,1
52,1
53,0
54,0
55,0
56,0
57,0
58,2
59,2
60,1
61,2
62,2
63,1
64,1
65,1
66,1
67,2
68,1
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,2
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,2
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,1
