,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1774,2,pa-howerters-grc,german reformed,0.10666666666666667,0.48,-0.18866080156402737,0.16368638239339753,0.7581863979848866,1,0,0.296875,0.21875,0.1875,13,12,25,0.0,0.48
1,1775,3,pa-howerters-grc,german reformed,0.04918032786885246,0.598,-0.20444033302497683,-0.025692074326886926,0.8221143235488854,5,3,0.3010752688172043,0.20430107526881722,0.1935483870967742,31,31,62,0.375,0.5
2,1776,4,pa-howerters-grc,german reformed,0.037756497948016415,0.615,-0.19191815330831327,-0.03308941966956605,0.8552937706851917,6,3,0.29347826086956524,0.1956521739130435,0.1956521739130435,41,44,86,0.3333333333333333,0.5116279069767442
3,1777,5,pa-howerters-grc,german reformed,0.029914529914529916,0.661,-0.20414264871199997,-0.008590602663035603,0.8494344520674948,9,1,0.29802955665024633,0.1921182266009852,0.19704433497536947,54,62,117,0.1,0.5299145299145299
4,1778,6,pa-howerters-grc,german reformed,0.029914529914529916,0.602,-0.20414264871199997,-0.008590602663035603,0.8494344520674948,9,1,0.29802955665024633,0.1921182266009852,0.19704433497536947,54,62,117,0.1,0.5299145299145299
5,1779,7,pa-howerters-grc,german reformed,0.030131826741996232,0.657,-0.2040383782675085,0.024635423479559267,0.8404907975460123,9,1,0.2980769230769231,0.19230769230769232,0.1971153846153846,55,62,118,0.1,0.5254237288135594
6,1780,8,pa-howerters-grc,german reformed,0.027559055118110236,0.602,-0.19845000885147224,0.0029801034271189253,0.8522239983760879,12,3,0.296875,0.20089285714285715,0.19196428571428573,61,66,128,0.2,0.515625
7,1781,9,pa-howerters-grc,german reformed,0.02579650565262076,0.602,-0.2048945015295317,-0.03303003921508231,0.8391923450513568,12,3,0.29880478087649404,0.199203187250996,0.19123505976095617,66,73,140,0.2,0.5214285714285715
8,1782,10,pa-howerters-grc,german reformed,0.02167487684729064,0.665,-0.202684660628586,-0.017268740906233968,0.8174866541624585,9,2,0.296969696969697,0.19393939393939394,0.19393939393939394,80,93,175,0.18181818181818182,0.5314285714285715
9,1783,11,pa-howerters-grc,german reformed,0.021324171029668413,0.647,-0.204247450048003,-0.02991383182913361,0.7917408194926467,13,5,0.2979539641943734,0.19437340153452684,0.19437340153452684,87,103,192,0.2777777777777778,0.5364583333333334
10,1784,12,pa-howerters-grc,german reformed,0.01985075354826123,0.648,-0.20601203120258513,-0.007730528813699763,0.7981540157046426,14,5,0.2985257985257985,0.1941031941031941,0.1941031941031941,92,109,203,0.2631578947368421,0.5369458128078818
11,1785,13,pa-howerters-grc,german reformed,0.017346367795661764,0.653,-0.20462289443607753,-0.013359708967804303,0.7726639636724927,12,6,0.29886148007590135,0.1954459203036053,0.1954459203036053,112,133,247,0.3333333333333333,0.5384615384615384
12,1786,14,pa-howerters-grc,german reformed,0.015962826294929615,0.641,-0.20687773559495198,-0.046940588813256225,0.7457379786184059,13,11,0.2996575342465753,0.1969178082191781,0.1934931506849315,126,143,271,0.4583333333333333,0.5276752767527675
13,1787,15,pa-howerters-grc,german reformed,0.014075789641816076,0.628,-0.20963880420730038,-0.05167106488110489,0.7538559305536893,20,14,0.300709219858156,0.1971631205673759,0.19290780141843972,143,172,317,0.4117647058823529,0.5425867507886435
14,1788,16,pa-howerters-grc,german reformed,0.01319578991464628,0.609,-0.21058520195269081,-0.03941429478236692,0.7543739948340563,18,11,0.3002645502645503,0.19444444444444445,0.1931216931216931,151,185,339,0.3793103448275862,0.5457227138643068
15,1789,17,pa-howerters-grc,german reformed,0.013187334734558276,0.63,-0.21034713950021786,-0.04971392670332578,0.7465901874423846,15,10,0.2994858611825193,0.1928020565552699,0.1928020565552699,152,188,344,0.4,0.5465116279069767
16,1790,18,pa-howerters-grc,german reformed,0.01316144253454668,0.62,-0.21080578272160005,-0.0493333231336493,0.7442828119312046,15,10,0.29961587708066584,0.19334186939820744,0.19206145966709348,153,188,345,0.4,0.5449275362318841
17,1791,19,pa-howerters-grc,german reformed,0.012390226936788106,0.66,-0.21636830845483493,-0.056056525127076665,0.743840706251657,12,11,0.30058479532163745,0.19181286549707602,0.18947368421052632,165,202,372,0.4782608695652174,0.543010752688172
