degree,count
0,0
1,768
2,253
3,166
4,99
5,65
6,50
7,38
8,33
9,20
10,16
11,14
12,12
13,9
14,2
15,7
16,4
17,2
18,2
19,6
20,5
21,2
22,4
23,0
24,0
25,1
26,1
27,1
28,2
29,1
30,1
31,0
32,0
33,2
34,3
35,1
36,2
37,0
38,0
39,0
40,1
41,1
42,0
43,1
44,2
45,0
46,2
47,0
48,0
49,1
50,2
51,4
52,0
53,0
54,1
55,2
56,0
57,1
58,0
59,1
60,0
61,0
62,3
63,2
64,1
65,2
66,2
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,2
76,0
77,1
78,0
79,1
80,2
81,2
82,1
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,1
98,1
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,1
