,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1750,1,pa-macungie-lutheran,lutheran,0.1631578947368421,0.97,-0.27351351351351366,0.9143646408839736,1.0,0,0,0.3064516129032258,0.2903225806451613,0.0967741935483871,12,8,20,0.0,0.4
1,1751,2,pa-macungie-lutheran,lutheran,0.052600818234950324,0.837,-0.24522900763358785,0.38007990081278653,0.8983194464058751,1,1,0.3,0.2222222222222222,0.13333333333333333,32,26,59,0.5,0.4406779661016949
2,1752,3,pa-macungie-lutheran,lutheran,0.0519774011299435,0.814,-0.24224739672731413,0.24815837937384833,0.8752711496746205,1,1,0.29891304347826086,0.22826086956521738,0.13043478260869565,33,26,60,0.5,0.43333333333333335
3,1753,4,pa-macungie-lutheran,lutheran,0.05023796932839767,0.795,-0.2471752932314645,0.23510466988727963,0.8796706776440786,2,1,0.3,0.23157894736842105,0.12631578947368421,34,27,62,0.3333333333333333,0.43548387096774194
4,1754,5,pa-macungie-lutheran,lutheran,0.036414565826330535,0.762,-0.23508454447774702,0.04930966469427981,0.805078392385671,4,1,0.29615384615384616,0.2153846153846154,0.13846153846153847,43,40,85,0.2,0.47058823529411764
5,1755,6,pa-macungie-lutheran,lutheran,0.02603305785123967,0.797,-0.23413707281826218,0.15187836740718874,0.8394076411859317,5,2,0.2962962962962963,0.21164021164021163,0.14285714285714285,61,57,121,0.2857142857142857,0.47107438016528924
6,1756,7,pa-macungie-lutheran,lutheran,0.02132275923986234,0.779,-0.20968583655150824,-0.023629084149567558,0.8593296648324162,12,3,0.28771929824561404,0.21754385964912282,0.1368421052631579,80,79,164,0.2,0.4817073170731707
7,1757,8,pa-macungie-lutheran,lutheran,0.019155707680297843,0.757,-0.20717907267249613,-0.03933764084079469,0.8610265482964358,14,4,0.2852664576802508,0.21316614420062696,0.13793103448275862,89,88,183,0.2222222222222222,0.4808743169398907
8,1758,9,pa-macungie-lutheran,lutheran,0.015811209439528025,0.755,-0.2104265015667762,-0.04494423072499366,0.8493016343730441,20,5,0.2873134328358209,0.21890547263681592,0.13681592039800994,110,109,226,0.2,0.4823008849557522
9,1759,10,pa-macungie-lutheran,lutheran,0.014482013277752045,0.772,-0.2150311529842529,-0.03375541507353025,0.8490420652473415,20,4,0.291044776119403,0.21535181236673773,0.14285714285714285,122,126,255,0.16666666666666666,0.49411764705882355
10,1760,11,pa-macungie-lutheran,lutheran,0.013749170537491705,0.77,-0.21531838654291188,-0.04119798796614342,0.8596695317868989,23,4,0.2924710424710425,0.21428571428571427,0.14671814671814673,131,137,275,0.14814814814814814,0.49818181818181817
11,1761,12,pa-macungie-lutheran,lutheran,0.011352917974310164,0.783,-0.21007585603790832,-0.04752659257089568,0.8496035255204494,32,5,0.29229607250755285,0.2190332326283988,0.14954682779456194,160,174,342,0.13513513513513514,0.5087719298245614
12,1762,13,pa-macungie-lutheran,lutheran,0.010623014228484598,0.763,-0.21356983398952845,-0.03427934920480751,0.8313355000444097,34,7,0.29323797139141744,0.21586475942782835,0.1508452535760728,177,194,381,0.17073170731707318,0.5091863517060368
13,1763,14,pa-macungie-lutheran,lutheran,0.009858665430954587,0.752,-0.21576127009172796,-0.0236173592995329,0.8263980303882534,34,6,0.29435957696827264,0.2209165687426557,0.14806110458284372,195,211,416,0.15,0.5072115384615384
14,1764,15,pa-macungie-lutheran,lutheran,0.009577464788732394,0.761,-0.21663100676574337,-0.016471727444688264,0.8272764594093277,34,6,0.2946943483275663,0.22145328719723184,0.14763552479815456,201,215,426,0.15,0.5046948356807511
15,1765,16,pa-macungie-lutheran,lutheran,0.009036708548903672,0.747,-0.21671129566164918,0.016035461596275828,0.8273243260780779,39,8,0.29389312977099236,0.22137404580152673,0.14612868047982552,213,226,451,0.1702127659574468,0.5011086474501109
16,1766,17,pa-macungie-lutheran,lutheran,0.008605958106513045,0.752,-0.21356041747665946,0.005587307314405322,0.8212988044768718,39,8,0.2917093142272262,0.2292732855680655,0.14022517911975435,228,235,477,0.1702127659574468,0.49266247379454925
17,1767,18,pa-macungie-lutheran,lutheran,0.007999371365707999,0.733,-0.21716360927460657,0.008486591078473608,0.816989520384263,51,7,0.2917485265225933,0.2337917485265226,0.13457760314341846,241,249,505,0.1206896551724138,0.49306930693069306
18,1768,19,pa-macungie-lutheran,lutheran,0.00785057261208577,0.739,-0.21737882525622804,0.014071257002150325,0.8174035022752109,51,7,0.29194956353055285,0.23375363724539283,0.13482056256062075,245,253,513,0.1206896551724138,0.49317738791423
19,1769,20,pa-macungie-lutheran,lutheran,0.007427643337206853,0.728,-0.21703890723117755,0.021066575362040454,0.8018255390583099,54,7,0.292772186642269,0.23147301006404392,0.13815187557182068,257,271,543,0.11475409836065574,0.4990791896869245
