,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1746,1,pa-schuykill-dunkels-lutheran,lutheran,1.0,1.0,-0.5000000000000001,,-0.5000000000000001,0,0,0.3333333333333333,0.3333333333333333,0.0,2,1,3,0.0,0.3333333333333333
1,1747,2,pa-schuykill-dunkels-lutheran,lutheran,1.0,1.0,-0.5000000000000001,,-0.5000000000000001,0,0,0.3333333333333333,0.3333333333333333,0.0,2,1,3,0.0,0.3333333333333333
2,1748,3,pa-schuykill-dunkels-lutheran,lutheran,0.2,0.146,-0.38461538461538464,-0.2727272727272735,0.653846153846154,3,1,0.2777777777777778,0.4444444444444444,0.0,7,3,10,0.25,0.3
3,1749,4,pa-schuykill-dunkels-lutheran,lutheran,0.2,0.158,-0.38461538461538464,-0.2727272727272735,0.653846153846154,3,1,0.2777777777777778,0.4444444444444444,0.0,7,3,10,0.25,0.3
4,1750,5,pa-schuykill-dunkels-lutheran,lutheran,0.21818181818181817,0.382,-0.411764705882353,0.294117647058823,0.7073170731707316,3,1,0.2916666666666667,0.4166666666666667,0.0,8,3,11,0.25,0.2727272727272727
5,1751,6,pa-schuykill-dunkels-lutheran,lutheran,0.21818181818181817,0.351,-0.411764705882353,0.294117647058823,0.7073170731707316,3,1,0.2916666666666667,0.4166666666666667,0.0,8,3,11,0.25,0.2727272727272727
6,1752,7,pa-schuykill-dunkels-lutheran,lutheran,0.21818181818181817,0.354,-0.411764705882353,0.294117647058823,0.7073170731707316,3,1,0.2916666666666667,0.4166666666666667,0.0,8,3,11,0.25,0.2727272727272727
7,1753,8,pa-schuykill-dunkels-lutheran,lutheran,0.21818181818181817,0.352,-0.411764705882353,0.294117647058823,0.7073170731707316,3,1,0.2916666666666667,0.4166666666666667,0.0,8,3,11,0.25,0.2727272727272727
8,1754,9,pa-schuykill-dunkels-lutheran,lutheran,0.21818181818181817,0.35,-0.411764705882353,0.294117647058823,0.7073170731707316,3,1,0.2916666666666667,0.4166666666666667,0.0,8,3,11,0.25,0.2727272727272727
9,1755,10,pa-schuykill-dunkels-lutheran,lutheran,0.19230769230769232,0.401,-0.4285714285714284,0.2105263157894733,0.7321428571428571,4,1,0.3,0.4,0.0,9,4,13,0.2,0.3076923076923077
10,1756,11,pa-schuykill-dunkels-lutheran,lutheran,0.19230769230769232,0.39,-0.4285714285714284,0.2105263157894733,0.7321428571428571,4,1,0.3,0.4,0.0,9,4,13,0.2,0.3076923076923077
11,1757,12,pa-schuykill-dunkels-lutheran,lutheran,0.13071895424836602,0.262,-0.3793103448275864,0.28571428571428475,0.8399999999999999,5,1,0.275,0.45,0.0,13,5,18,0.16666666666666666,0.2777777777777778
12,1758,13,pa-schuykill-dunkels-lutheran,lutheran,0.13157894736842105,0.326,-0.2867647058823532,-0.007326007326006649,0.8780487804878051,5,1,0.28,0.4,0.04,14,6,20,0.16666666666666666,0.3
13,1759,14,pa-schuykill-dunkels-lutheran,lutheran,0.13157894736842105,0.319,-0.2867647058823532,-0.007326007326006649,0.8780487804878051,5,1,0.28,0.4,0.04,14,6,20,0.16666666666666666,0.3
14,1760,15,pa-schuykill-dunkels-lutheran,lutheran,0.10869565217391304,0.361,-0.24542124542124533,-0.02272727272727446,0.9047619047619048,5,1,0.2833333333333333,0.36666666666666664,0.06666666666666667,16,8,24,0.16666666666666666,0.3333333333333333
15,1761,16,pa-schuykill-dunkels-lutheran,lutheran,0.10869565217391304,0.406,-0.24542124542124533,-0.02272727272727446,0.9047619047619048,5,1,0.2833333333333333,0.36666666666666664,0.06666666666666667,16,8,24,0.16666666666666666,0.3333333333333333
16,1762,17,pa-schuykill-dunkels-lutheran,lutheran,0.09971509971509972,0.463,-0.22377622377622358,-0.15231548480463125,0.8071625344352618,5,1,0.2857142857142857,0.34285714285714286,0.08571428571428572,17,10,27,0.16666666666666666,0.37037037037037035
17,1763,18,pa-schuykill-dunkels-lutheran,lutheran,0.09852216748768473,0.434,-0.21132323897300836,0.01785714285714244,0.8364008179959103,5,1,0.2875,0.325,0.1,18,11,29,0.16666666666666666,0.3793103448275862
18,1764,19,pa-schuykill-dunkels-lutheran,lutheran,0.09852216748768473,0.428,-0.21132323897300836,0.01785714285714244,0.8364008179959103,5,1,0.2875,0.325,0.1,18,11,29,0.16666666666666666,0.3793103448275862
19,1765,20,pa-schuykill-dunkels-lutheran,lutheran,0.10837438423645321,0.413,-0.18598382749326167,0.08676654182272116,0.7325227963525835,5,1,0.2840909090909091,0.3181818181818182,0.11363636363636363,18,11,29,0.16666666666666666,0.3793103448275862
20,1766,21,pa-schuykill-dunkels-lutheran,lutheran,0.10837438423645321,0.409,-0.18598382749326167,0.08676654182272116,0.7325227963525835,5,1,0.2840909090909091,0.3181818181818182,0.11363636363636363,18,11,29,0.16666666666666666,0.3793103448275862
21,1767,22,pa-schuykill-dunkels-lutheran,lutheran,0.10846560846560846,0.408,-0.16635745207173797,0.12522566880026234,0.7769141080450837,4,0,0.2804878048780488,0.3170731707317073,0.12195121951219512,17,11,28,0.0,0.39285714285714285
22,1768,23,pa-schuykill-dunkels-lutheran,lutheran,0.11397849462365592,0.505,-0.19708561020036414,0.01996039856923884,0.7254532611255005,3,1,0.29245283018867924,0.2830188679245283,0.1320754716981132,19,12,31,0.25,0.3870967741935484
23,1769,24,pa-schuykill-dunkels-lutheran,lutheran,0.1476923076923077,0.691,-0.2215884159719174,-0.04431466849879847,0.6896855715545109,2,1,0.3020833333333333,0.25,0.14583333333333334,15,11,26,0.3333333333333333,0.4230769230769231
24,1770,25,pa-schuykill-dunkels-lutheran,lutheran,0.12413793103448276,0.736,-0.2327914216534073,0.01298701298701269,0.7391877058177827,2,1,0.3055555555555556,0.24074074074074073,0.14814814814814814,17,13,30,0.3333333333333333,0.43333333333333335
25,1771,26,pa-schuykill-dunkels-lutheran,lutheran,0.1349206349206349,0.7,-0.22321083172146985,0.001365285811805882,0.7201297081566476,2,1,0.30392156862745096,0.23529411764705882,0.1568627450980392,16,12,28,0.3333333333333333,0.42857142857142855
26,1772,27,pa-schuykill-dunkels-lutheran,lutheran,0.1330049261083744,0.743,-0.2327914216534073,-0.014613778705637046,0.7395308046481035,2,1,0.3055555555555556,0.24074074074074073,0.14814814814814814,17,12,29,0.3333333333333333,0.41379310344827586
27,1773,28,pa-schuykill-dunkels-lutheran,lutheran,0.1330049261083744,0.753,-0.2327914216534073,-0.014613778705637046,0.7395308046481035,2,1,0.3055555555555556,0.24074074074074073,0.14814814814814814,17,12,29,0.3333333333333333,0.41379310344827586
28,1774,29,pa-schuykill-dunkels-lutheran,lutheran,0.1330049261083744,0.742,-0.2327914216534073,-0.014613778705637046,0.7395308046481035,2,1,0.3055555555555556,0.24074074074074073,0.14814814814814814,17,12,29,0.3333333333333333,0.41379310344827586
29,1775,30,pa-schuykill-dunkels-lutheran,lutheran,0.10793650793650794,0.741,-0.24498692240627737,0.047931382441977824,0.7978651533576545,4,1,0.3088235294117647,0.23529411764705882,0.14705882352941177,20,16,36,0.2,0.4444444444444444
30,1776,31,pa-schuykill-dunkels-lutheran,lutheran,0.1092436974789916,0.731,-0.23809523809523808,0.01694825625974979,0.7849947376334385,2,1,0.3076923076923077,0.23076923076923078,0.15384615384615385,20,15,35,0.3333333333333333,0.42857142857142855
31,1777,32,pa-schuykill-dunkels-lutheran,lutheran,0.1092436974789916,0.735,-0.23809523809523808,0.01694825625974979,0.7849947376334385,2,1,0.3076923076923077,0.23076923076923078,0.15384615384615385,20,15,35,0.3333333333333333,0.42857142857142855
32,1778,33,pa-schuykill-dunkels-lutheran,lutheran,0.12903225806451613,0.794,-0.26807563959955494,-0.06742273180458581,0.7643277986073915,2,1,0.31666666666666665,0.2,0.16666666666666666,16,15,31,0.3333333333333333,0.4838709677419355
33,1779,34,pa-schuykill-dunkels-lutheran,lutheran,0.1354679802955665,0.809,-0.2744124462098643,-0.1571666496720035,0.7347073010304759,2,1,0.3181818181818182,0.2,0.16363636363636364,15,14,29,0.3333333333333333,0.4827586206896552
34,1780,35,pa-schuykill-dunkels-lutheran,lutheran,0.1354679802955665,0.812,-0.2744124462098643,-0.1571666496720035,0.7347073010304759,2,1,0.3181818181818182,0.2,0.16363636363636364,15,14,29,0.3333333333333333,0.4827586206896552
