,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1708,1,westcamp-lutheran,lutheran,0.8333333333333334,0.828,-0.24999999999999983,-0.6666666666666787,,0,0,0.2,0.6,0.0,3,1,4,0.0,0.25
1,1709,2,westcamp-lutheran,lutheran,0.30303030303030304,0.857,-0.17333333333333342,-0.1666666666666666,1.0,1,0,0.275,0.35,0.1,7,5,12,0.0,0.4166666666666667
2,1710,3,westcamp-lutheran,lutheran,0.051203277009728626,0.919,-0.24448012846246492,0.11578947368420953,0.9652194075705753,2,1,0.31,0.22,0.16,33,30,63,0.3333333333333333,0.47619047619047616
3,1711,4,westcamp-lutheran,lutheran,0.01699572992855029,0.848,-0.20828675758253226,0.2900455409330518,0.8975102147615884,13,6,0.3009950248756219,0.22885572139303484,0.1691542288557214,112,106,218,0.3157894736842105,0.48623853211009177
4,1712,5,westcamp-lutheran,lutheran,0.01109227073618765,0.802,-0.19312790189683712,0.17382418359380736,0.8854364068047662,27,18,0.29777070063694266,0.2229299363057325,0.18152866242038215,170,167,337,0.4,0.49554896142433236
5,1713,6,westcamp-lutheran,lutheran,0.010206915706151924,0.776,-0.1962939413207378,0.14889306369027805,0.8890823780769909,31,17,0.29863945578231293,0.22040816326530613,0.18231292517006803,191,189,380,0.3541666666666667,0.49736842105263157
6,1714,7,westcamp-lutheran,lutheran,0.008533342309893291,0.772,-0.19111111111111126,0.1539458163324499,0.9018711719642621,37,17,0.2973372781065089,0.22189349112426035,0.1834319526627219,242,246,488,0.3148148148148148,0.5040983606557377
7,1715,8,westcamp-lutheran,lutheran,0.00815347721822542,0.776,-0.1865035901180482,0.10531011057624325,0.8972294735591294,45,21,0.2957074721780604,0.23211446740858505,0.17647058823529413,275,281,556,0.3181818181818182,0.5053956834532374
8,1716,9,westcamp-lutheran,lutheran,0.007526408450704226,0.79,-0.1958224145286123,0.15925504202389187,0.8945191229406301,56,26,0.2982456140350877,0.22612085769980506,0.17738791423001948,315,325,640,0.3170731707317073,0.5078125
9,1717,10,westcamp-lutheran,lutheran,0.007323128360592337,0.766,-0.19958507833100686,0.13778171900959352,0.894612680603824,57,31,0.2992617830777967,0.22373651334469052,0.17773992049971607,340,354,694,0.3522727272727273,0.5100864553314121
10,1718,11,westcamp-lutheran,lutheran,0.007344458667172363,0.809,-0.19896807481457626,0.15387239666312386,0.8902002682612883,56,32,0.2990855298547606,0.22431414739107047,0.17751479289940827,345,367,712,0.36363636363636365,0.5154494382022472
11,1719,12,westcamp-lutheran,lutheran,0.007217928043151866,0.795,-0.19927543990298993,0.16082911342856773,0.8874691332006447,60,30,0.29917822290703644,0.2239342578325629,0.17770929635336416,352,383,735,0.3333333333333333,0.5210884353741496
12,1720,13,westcamp-lutheran,lutheran,0.007217928043151866,0.784,-0.19927543990298993,0.16082911342856773,0.8874691332006447,60,30,0.29917822290703644,0.2239342578325629,0.17770929635336416,352,383,735,0.3333333333333333,0.5210884353741496
