,bottom_left_x1,bottom_left_y1,top_right_x2,top_right_y2,pg
0,40.06,3889.42,82.39,4027.76,10
1,82.39,3889.42,210.95,4027.76,10
2,210.95,3889.42,364.74,4027.76,10
3,364.74,3889.42,783.53,4027.76,10
4,783.53,3889.42,1605.23,4027.76,10
5,1605.23,3889.42,2108.18,4027.76,10
6,2108.18,3889.42,2509.75,4027.76,10
7,40.06,3680.97,82.39,3889.42,10
8,82.39,3680.97,210.95,3889.42,10
9,210.95,3680.97,364.74,3889.42,10
10,364.74,3680.97,783.53,3889.42,10
11,783.53,3680.97,1605.23,3889.42,10
12,1605.23,3680.97,2108.18,3889.42,10
13,2108.18,3680.97,2509.75,3889.42,10
14,40.06,3596.81,82.39,3680.97,10
15,82.39,3596.81,210.95,3680.97,10
16,210.95,3596.81,364.74,3680.97,10
17,364.74,3596.81,783.53,3680.97,10
18,783.53,3596.81,1605.23,3680.97,10
19,1605.23,3596.81,2108.18,3680.97,10
20,2108.18,3596.81,2509.75,3680.97,10
21,40.06,3570.49,82.39,3596.81,10
22,82.39,3570.49,210.95,3596.81,10
23,210.95,3570.49,364.74,3596.81,10
24,364.74,3570.49,783.53,3596.81,10
25,783.53,3570.49,1605.23,3596.81,10
26,1605.23,3570.49,2108.18,3596.81,10
27,2108.18,3570.49,2509.75,3596.81,10
28,40.06,3473.67,82.39,3570.49,10
29,82.39,3473.67,210.95,3570.49,10
30,210.95,3473.67,364.74,3570.49,10
31,364.74,3473.67,783.53,3570.49,10
32,783.53,3473.67,1605.23,3570.49,10
33,1605.23,3473.67,2108.18,3570.49,10
34,2108.18,3473.67,2509.75,3570.49,10
35,40.06,3395.09,82.39,3473.67,10
36,82.39,3395.09,210.95,3473.67,10
37,210.95,3395.09,364.74,3473.67,10
38,364.74,3395.09,783.53,3473.67,10
39,783.53,3395.09,1605.23,3473.67,10
40,1605.23,3395.09,2108.18,3473.67,10
41,2108.18,3395.09,2509.75,3473.67,10
42,40.06,3371.38,82.39,3395.09,10
43,82.39,3371.38,210.95,3395.09,10
44,210.95,3371.38,364.74,3395.09,10
45,364.74,3371.38,783.53,3395.09,10
46,783.53,3371.38,1605.23,3395.09,10
47,1605.23,3371.38,2108.18,3395.09,10
48,2108.18,3371.38,2509.75,3395.09,10
49,40.06,3346.65,82.39,3371.38,10
50,82.39,3346.65,210.95,3371.38,10
51,210.95,3346.65,364.74,3371.38,10
52,364.74,3346.65,783.53,3371.38,10
53,783.53,3346.65,1605.23,3371.38,10
54,1605.23,3346.65,2108.18,3371.38,10
55,2108.18,3346.65,2509.75,3371.38,10
56,40.06,3271.2,82.39,3346.65,10
57,82.39,3271.2,210.95,3346.65,10
58,210.95,3271.2,364.74,3346.65,10
59,364.74,3271.2,783.53,3346.65,10
60,783.53,3271.2,1605.23,3346.65,10
61,1605.23,3271.2,2108.18,3346.65,10
62,2108.18,3271.2,2509.75,3346.65,10
63,40.06,3196.52,82.39,3271.2,10
64,82.39,3196.52,210.95,3271.2,10
65,210.95,3196.52,364.74,3271.2,10
66,364.74,3196.52,783.53,3271.2,10
67,783.53,3196.52,1605.23,3271.2,10
68,1605.23,3196.52,2108.18,3271.2,10
69,2108.18,3196.52,2509.75,3271.2,10
70,40.06,3165.57,82.39,3196.52,10
71,82.39,3165.57,210.95,3196.52,10
72,210.95,3165.57,364.74,3196.52,10
73,364.74,3165.57,783.53,3196.52,10
74,783.53,3165.57,1605.23,3196.52,10
75,1605.23,3165.57,2108.18,3196.52,10
76,2108.18,3165.57,2509.75,3196.52,10
77,40.06,3135.98,82.39,3165.57,10
78,82.39,3135.98,210.95,3165.57,10
79,210.95,3135.98,364.74,3165.57,10
80,364.74,3135.98,783.53,3165.57,10
81,783.53,3135.98,1605.23,3165.57,10
82,1605.23,3135.98,2108.18,3165.57,10
83,2108.18,3135.98,2509.75,3165.57,10
84,40.06,3061.57,82.39,3135.98,10
85,82.39,3061.57,210.95,3135.98,10
86,210.95,3061.57,364.74,3135.98,10
87,364.74,3061.57,783.53,3135.98,10
88,783.53,3061.57,1605.23,3135.98,10
89,1605.23,3061.57,2108.18,3135.98,10
90,2108.18,3061.57,2509.75,3135.98,10
91,40.06,2914.01,82.39,3061.57,10
92,82.39,2914.01,210.95,3061.57,10
93,210.95,2914.01,364.74,3061.57,10
94,364.74,2914.01,783.53,3061.57,10
95,783.53,2914.01,1605.23,3061.57,10
96,1605.23,2914.01,2108.18,3061.57,10
97,2108.18,2914.01,2509.75,3061.57,10
98,40.06,2832.34,82.39,2914.01,10
99,82.39,2832.34,210.95,2914.01,10
100,210.95,2832.34,364.74,2914.01,10
101,364.74,2832.34,783.53,2914.01,10
102,783.53,2832.34,1605.23,2914.01,10
103,1605.23,2832.34,2108.18,2914.01,10
104,2108.18,2832.34,2509.75,2914.01,10
105,40.06,2811.96,82.39,2832.34,10
106,82.39,2811.96,210.95,2832.34,10
107,210.95,2811.96,364.74,2832.34,10
108,364.74,2811.96,783.53,2832.34,10
109,783.53,2811.96,1605.23,2832.34,10
110,1605.23,2811.96,2108.18,2832.34,10
111,2108.18,2811.96,2509.75,2832.34,10
112,40.06,2790.02,82.39,2811.96,10
113,82.39,2790.02,210.95,2811.96,10
114,210.95,2790.02,364.74,2811.96,10
115,364.74,2790.02,783.53,2811.96,10
116,783.53,2790.02,1605.23,2811.96,10
117,1605.23,2790.02,2108.18,2811.96,10
118,2108.18,2790.02,2509.75,2811.96,10
119,40.06,2778.3,82.39,2790.02,10
120,82.39,2778.3,210.95,2790.02,10
121,210.95,2778.3,364.74,2790.02,10
122,364.74,2778.3,783.53,2790.02,10
123,783.53,2778.3,1605.23,2790.02,10
124,1605.23,2778.3,2108.18,2790.02,10
125,2108.18,2778.3,2509.75,2790.02,10
126,40.06,2701.79,82.39,2778.3,10
127,82.39,2701.79,210.95,2778.3,10
128,210.95,2701.79,364.74,2778.3,10
129,364.74,2701.79,783.53,2778.3,10
130,783.53,2701.79,1605.23,2778.3,10
131,1605.23,2701.79,2108.18,2778.3,10
132,2108.18,2701.79,2509.75,2778.3,10
133,40.06,2626.25,82.39,2701.79,10
134,82.39,2626.25,210.95,2701.79,10
135,210.95,2626.25,364.74,2701.79,10
