,year,density,clustering,preferential_edges,jacc_edges
0,1694,0.2087912087912088,0.525,0.0,0.0
1,1695,0.05795918367346939,0.613,0.01,0.01
2,1696,0.04203691045796309,0.571,0.0,0.01
3,1697,0.044105854049719326,0.484,0.01,0.01
4,1698,0.04122861265718408,0.489,0.01,0.01
5,1699,0.04054825813820674,0.479,0.01,0.0
6,1700,0.026621455883413896,0.576,0.02,0.06
7,1701,0.02527299335809974,0.574,0.0,0.03
8,1702,0.02274802822748028,0.604,0.01,0.01
9,1703,0.022940821898379603,0.594,0.02,0.05
10,1704,0.02247762712878992,0.61,0.02,0.05
11,1705,0.02085555160564048,0.602,0.04,0.05
12,1706,0.01950644890787845,0.584,0.02,0.02
13,1707,0.01870553531146972,0.596,0.0,0.05
14,1708,0.01862464183381089,0.576,0.0,0.04
15,1709,0.01862464183381089,0.567,0.0,0.0
16,1710,0.018307025688641287,0.601,0.02,0.02
17,1711,0.017827476930379307,0.604,0.01,0.01
18,1712,0.01645685093960956,0.612,0.0,0.0
19,1713,0.01557632398753894,0.617,0.01,0.0
20,1714,0.014821384577482138,0.59,0.0,0.01
21,1715,0.014142286516247436,0.6,0.0,0.0
22,1716,0.013047391695691309,0.605,0.01,0.02
23,1717,0.01260239445494644,0.58,0.0,0.04
24,1718,0.012100589798431526,0.589,0.01,0.01
25,1719,0.012154730082649707,0.601,0.01,0.04
26,1720,0.01152655522355918,0.611,0.0,0.02
27,1721,0.011554286849548547,0.617,0.02,0.07
28,1722,0.011490598375518517,0.615,0.0,0.05
29,1723,0.011546519602777177,0.648,0.02,0.13
30,1724,0.011572745424129591,0.662,0.0,0.0
