,year,year_count,congregation,denomination,density,clustering,preferential_edges,jacc_edges,gender_assort,male_bridges,female_bridges,male,female,nodes,bridge_pct,network_pct
0,1697,1,sleepyhollow-drc,dutch reformed,0.07954545454545454,0.559,0.0,0.0,-0.23809523809523814,2,2,16,17,33,1.0,1.0625
1,1698,2,sleepyhollow-drc,dutch reformed,0.04855769230769231,0.55,0.0,0.04,-0.1724545007378258,3,3,34,31,65,1.0,0.9117647058823529
2,1699,3,sleepyhollow-drc,dutch reformed,0.04647983595352016,0.565,0.0,0.03,-0.18055555555555566,6,3,39,38,77,0.5,0.9743589743589743
3,1700,4,sleepyhollow-drc,dutch reformed,0.04186046511627907,0.518,0.0,0.01,-0.16658813450417648,8,3,43,43,86,0.375,1.0
4,1701,5,sleepyhollow-drc,dutch reformed,0.037502379592613745,0.58,0.01,0.04,-0.18892012482913362,8,5,51,52,103,0.625,1.0196078431372548
5,1702,6,sleepyhollow-drc,dutch reformed,0.03370049829530553,0.605,0.0,0.05,-0.2068834926453878,6,7,64,60,124,1.1666666666666667,0.9375
6,1703,7,sleepyhollow-drc,dutch reformed,0.033118027011156785,0.573,0.0,0.01,-0.19932054105064498,8,6,66,65,131,0.75,0.9848484848484849
7,1704,8,sleepyhollow-drc,dutch reformed,0.028809769521843824,0.51,0.0,0.0,-0.1881020486361735,5,7,75,78,153,1.4,1.04
8,1705,9,sleepyhollow-drc,dutch reformed,0.025547674345615466,0.545,0.0,0.01,-0.18430378218479274,7,8,87,92,179,1.1428571428571428,1.0574712643678161
9,1706,10,sleepyhollow-drc,dutch reformed,0.022125624864159966,0.489,0.0,0.01,-0.17092789871854244,8,7,101,114,215,0.875,1.1287128712871286
10,1707,11,sleepyhollow-drc,dutch reformed,0.021532091097308487,0.566,0.02,0.04,-0.1748251748251748,8,6,106,125,231,0.75,1.179245283018868
11,1708,12,sleepyhollow-drc,dutch reformed,0.02072210659668808,0.574,0.01,0.07,-0.18195301376364484,8,7,119,139,258,0.875,1.1680672268907564
12,1709,13,sleepyhollow-drc,dutch reformed,0.01926200974704108,0.588,0.0,0.02,-0.1861116537304232,8,6,129,150,279,0.75,1.1627906976744187
13,1710,14,sleepyhollow-drc,dutch reformed,0.018107412378165495,0.6,0.03,0.03,-0.1883985217623689,13,6,139,163,302,0.46153846153846156,1.1726618705035972
14,1711,15,sleepyhollow-drc,dutch reformed,0.01630172490839217,0.602,0.01,0.02,-0.19085963003264433,13,6,153,182,335,0.46153846153846156,1.1895424836601307
15,1712,16,sleepyhollow-drc,dutch reformed,0.015579804410706907,0.591,0.0,0.02,-0.18481417251252874,10,7,166,196,362,0.7,1.180722891566265
16,1713,17,sleepyhollow-drc,dutch reformed,0.015294316835035838,0.586,0.01,0.0,-0.18277862179609955,10,7,173,204,377,0.7,1.1791907514450868
17,1714,18,sleepyhollow-drc,dutch reformed,0.015384000639335092,0.639,0.0,0.05,-0.1828116601106098,10,5,178,210,388,0.5,1.1797752808988764
18,1715,19,sleepyhollow-drc,dutch reformed,0.014790428583532031,0.586,0.0,0.0,-0.1769871968760781,15,5,188,219,407,0.3333333333333333,1.1648936170212767
19,1716,20,sleepyhollow-drc,dutch reformed,0.014888055460847824,0.575,0.03,0.02,-0.17419975231295964,15,6,196,224,420,0.4,1.1428571428571428
20,1717,21,sleepyhollow-drc,dutch reformed,0.014630012182848668,0.558,0.0,0.02,-0.17324078385964042,18,6,203,232,435,0.3333333333333333,1.1428571428571428
21,1718,22,sleepyhollow-drc,dutch reformed,0.014259011470537165,0.573,0.0,0.0,-0.17211464045015354,14,8,208,235,443,0.5714285714285714,1.1298076923076923
22,1719,23,sleepyhollow-drc,dutch reformed,0.014118676423798918,0.495,0.01,0.01,-0.1664285714285714,16,7,213,236,449,0.4375,1.107981220657277
23,1720,24,sleepyhollow-drc,dutch reformed,0.013852684888657183,0.522,0.0,0.01,-0.16692174950082683,16,7,220,244,464,0.4375,1.1090909090909091
24,1721,25,sleepyhollow-drc,dutch reformed,0.013482101348210134,0.525,0.0,0.0,-0.16877180503336375,15,7,226,252,478,0.4666666666666667,1.1150442477876106
25,1722,26,sleepyhollow-drc,dutch reformed,0.01355166572557877,0.494,0.01,0.01,-0.16069077117935554,11,8,231,253,484,0.7272727272727273,1.0952380952380953
26,1723,27,sleepyhollow-drc,dutch reformed,0.013225371120107961,0.513,0.0,0.03,-0.15676165344242735,11,7,236,259,495,0.6363636363636364,1.097457627118644
27,1724,28,sleepyhollow-drc,dutch reformed,0.012884774591706179,0.529,0.01,0.03,-0.1545144292461847,11,7,243,273,516,0.6363636363636364,1.123456790123457
28,1725,29,sleepyhollow-drc,dutch reformed,0.01219868905641312,0.501,0.0,0.03,-0.15370947460499715,10,7,258,291,549,0.7,1.127906976744186
29,1726,30,sleepyhollow-drc,dutch reformed,0.012152154547751053,0.506,0.0,0.0,-0.15474003918909388,9,9,261,288,549,1.0,1.103448275862069
30,1727,31,sleepyhollow-drc,dutch reformed,0.012207780338292609,0.547,0.0,0.03,-0.1537660256410259,11,9,264,290,554,0.8181818181818182,1.0984848484848484
31,1728,32,sleepyhollow-drc,dutch reformed,0.011942022505402787,0.485,0.0,0.02,-0.14921562895839435,13,9,272,296,568,0.6923076923076923,1.088235294117647
32,1729,33,sleepyhollow-drc,dutch reformed,0.012684447250059181,0.48,0.0,0.03,-0.144366567425235,13,6,262,290,552,0.46153846153846156,1.1068702290076335
33,1730,34,sleepyhollow-drc,dutch reformed,0.012822024792305474,0.489,0.0,0.01,-0.1389771817746767,13,5,261,292,553,0.38461538461538464,1.1187739463601531
34,1731,35,sleepyhollow-drc,dutch reformed,0.01276840515034481,0.499,0.0,0.03,-0.1351442001688799,14,6,269,294,563,0.42857142857142855,1.0929368029739777
35,1732,36,sleepyhollow-drc,dutch reformed,0.0130193870038619,0.488,0.0,0.02,-0.13154150275470572,10,7,268,289,557,0.7,1.078358208955224
36,1733,37,sleepyhollow-drc,dutch reformed,0.013170004536911011,0.477,0.0,0.06,-0.1333815503340663,12,5,263,293,556,0.4166666666666667,1.1140684410646389
37,1734,38,sleepyhollow-drc,dutch reformed,0.012654225270749341,0.446,0.0,0.05,-0.13348703673289497,8,6,273,301,574,0.75,1.1025641025641026
38,1735,39,sleepyhollow-drc,dutch reformed,0.012663523196538597,0.46,0.0,0.04,-0.13018091989838135,10,7,272,307,579,0.7,1.1286764705882353
39,1736,40,sleepyhollow-drc,dutch reformed,0.012421130068188891,0.513,0.0,0.07,-0.13473644479351635,7,7,279,316,595,1.0,1.1326164874551972
40,1737,41,sleepyhollow-drc,dutch reformed,0.011789555133815372,0.507,0.0,0.03,-0.1407920907368596,9,4,286,333,619,0.4444444444444444,1.1643356643356644
41,1738,42,sleepyhollow-drc,dutch reformed,0.011497002407044717,0.532,0.0,0.05,-0.14447770079208916,9,4,293,341,634,0.4444444444444444,1.1638225255972696
42,1739,43,sleepyhollow-drc,dutch reformed,0.011724824740851939,0.524,0.03,0.05,-0.14317628726998963,11,4,295,344,639,0.36363636363636365,1.1661016949152543
43,1740,44,sleepyhollow-drc,dutch reformed,0.011123373338851337,0.536,0.0,0.04,-0.14759125504655898,13,5,302,358,660,0.38461538461538464,1.185430463576159
44,1741,45,sleepyhollow-drc,dutch reformed,0.01082812465244567,0.55,0.01,0.04,-0.14543960558751023,14,5,309,362,671,0.35714285714285715,1.1715210355987056
45,1742,46,sleepyhollow-drc,dutch reformed,0.010946257830530827,0.564,0.0,0.08,-0.1477913497832857,17,4,312,363,675,0.23529411764705882,1.1634615384615385
46,1743,47,sleepyhollow-drc,dutch reformed,0.010533649961246063,0.546,0.01,0.04,-0.15305093119176497,19,6,319,378,697,0.3157894736842105,1.1849529780564263
47,1744,48,sleepyhollow-drc,dutch reformed,0.010577852998065764,0.563,0.02,0.11,-0.15505180971178137,14,7,325,380,705,0.5,1.1692307692307693
48,1745,49,sleepyhollow-drc,dutch reformed,0.01021355617455896,0.577,0.01,0.06,-0.15330374040014108,19,8,335,383,718,0.42105263157894735,1.1432835820895522
49,1746,50,sleepyhollow-drc,dutch reformed,0.010088781275221953,0.574,0.0,0.0,-0.14871105912649946,27,10,336,372,708,0.37037037037037035,1.1071428571428572
50,1747,51,sleepyhollow-drc,dutch reformed,0.010304148611946179,0.569,0.0,0.0,-0.1402377455777534,24,7,332,363,695,0.2916666666666667,1.0933734939759037
51,1748,52,sleepyhollow-drc,dutch reformed,0.010201922751430215,0.609,0.0,0.01,-0.13761823677387544,28,4,335,353,688,0.14285714285714285,1.0537313432835822
52,1749,53,sleepyhollow-drc,dutch reformed,0.010204260005418965,0.556,0.0,0.0,-0.13094091897286955,31,4,333,344,677,0.12903225806451613,1.033033033033033
53,1750,54,sleepyhollow-drc,dutch reformed,0.010108718096041799,0.564,0.0,0.01,-0.12753544321018534,33,4,332,336,668,0.12121212121212122,1.0120481927710843
54,1751,55,sleepyhollow-drc,dutch reformed,0.009746692138965542,0.574,0.02,0.0,-0.12485441647476113,43,4,337,336,673,0.09302325581395349,0.9970326409495549
55,1752,56,sleepyhollow-drc,dutch reformed,0.009628485370443786,0.56,0.01,0.0,-0.11750324457282209,52,3,335,328,663,0.057692307692307696,0.9791044776119403
